ID,boneName,xOffset,yOffset,zOffset,xRotation,yRotation,zRotation,scale
9,"J_center",0,0,-0.1,340,0,0,0.75
10,"J_head",0,0.32,0.05,340,0,0,0.5
12,"J_head",0,0.2,-0.1,340,0,0,1
13,"J_head",0,0.4,0.2,330,0,0,1.1
14,"body",0,0.4,0.3,340,0,0,0.8
15,"head",0,0.05,0,310,0,0,0.7
21,"J_head",0,0.2,0.85,340,0,0,2.7
24,"J_head",0,0.3,-0.01,340,0,0,0.3
27,"J_head",0,0.1,0.1,340,0,0,0.5
34,"J_head",0,0.09,0.02,350,0,0,0.4
35,"J_head",0,0,0.09,340,0,0,0.31
36,"J_head",0,0.2,0.1,340,0,0,0.4
37,"J_haed",0,1.3,0.1,330,0,0,1
38,"J_head",0,0.23,0.1,340,0,0,0.5
39,"J_hed",0,0.06,0.02,340,0,0,0.5
40,"J_head",0,0.08,0.07,347,0,0,0.8
43,"J_head",0,0.3,-0.04,330,0,0,0.6
49,"J_head",0,0.3,0.09,340,0,0,0.42
50,"J_head",0,0.32,-0.02,310,0,0,0.5
53,"J_head",0,0.02,0.1,340,0,0,0.3
54,"J_haed",0,0.64,0.14,320,0,0,0.8
55,"J_joint12",0,0.29,0.04,340,0,0,0.57
56,"J_joint6",0,0.19,0.03,336.7,0,0,0.6
57,"J_joint12",0,0.18,0.02,5,0,0,0.4
58,"J_head",0,0.25,0.14,328,0,0,0.68
61,"J_head",0,0.4,0.03,330,0,0,1.09
68,"J_head",0,0,0.35,330,0,0,0.82
69,"J_tougue2",0,-0.04,-0.06,330,0,0,0.55
70,"J_tougue2",0,-0.04,-0.06,330,0,0,0.55
71,"J_head",0,0.15,0.24,320,0,0,0.55
72,"J_neck",0,0.2,0.07,334,0,0,0.5
73,"J_head",0,0.12,0.05,340,0,0,0.5
74,"J_jnt_hd0",0,0.27,0.09,320,0,0,0.52
77,"head",0,0.28,0.3,320,0,0,0.68
78,"J_head",0,0.22,0.21,330,0,0,0.6
79,"body",0,0.25,0.36,340,0,0,0.78
81,"J_head",0,0.3,-0.03,340,0,0,0.44
84,"J_head",0,0.35,0.2,322,0,0,0.77
85,"J_head",0,0.16,0.07,0,0,0,0.2
86,"J_head",0,0.08,-0.03,318,0,0,0.37
87,"J_neck",0,0.2,0.09,340,0,0,0.32
88,"J_head",0,0.07,0.02,324,0,0,0.33
90,"J_head",0,0.22,0.04,320,0,0,0.4
91,"J_head",0,0.08,0.07,340,0,0,0.38
92,"J_head",0,0.3,-0.04,330,0,0,0.6
93,"J_head",0,0.13,0.07,340,0,0,0.32
94,"J_head",0,0.09,0.08,320,0,0,0.34
95,"J_head",0,0.22,0.07,314,0,0,0.45
96,"J_neck",0.01,0.07,-0.06,330,0,0,0.44
97,"J_center",0,0.11,0.02,325,0,0,0.5
101,"J_head",0,0.14,0.06,350,0,0,0.3
107,"J_head",0,0.12,0.09,340,0,0,0.27
111,"J_head",0,0.29,0.23,344,0,0,0.44
112,"J_atama",0,0.12,0.13,340,0,0,0.55
113,"J_tougue2",0,-0.04,-0.06,330,0,0,0.55
114,"J_neck",0,0.02,0.001,340,0,0,0.53
126,"J_head",0,0.04,0.05,340,0,0,0.32
132,"J_head",0,0.14,0.06,315,0,0,0.7
134,"J_head_1",0,0.35,0.22,330,0,0,0.75
135,"J_head",0,0.13,0.2,310,0,0,0.71
140,"J_head",0,0.25,0.05,310,0,0,0.53
143,"J_head",0,0.32,-0.02,310,0,0,0.5
148,"J_head",0,0.22,0.08,345,0,0,0.3
150,"J_head",0,0.04,0.05,340,0,0,0.32
151,"J_head",0,0.3,0.12,305,0,0,0.45
175,"J_head",0,0.1,0.1,340,0,0,0.5
177,"J_head",0,0.32,0.05,340,0,0,0.5
182,"J_head",0,0.13,0.2,310,0,0,0.71
215,"J_head",0,0.18,0.13,340,0,0,0.67
301,"J_atama",0,0.43,0.16,320,0,0,0.92
302,"J_atama",0,0.21,0.14,329,0,0,1.25
303,"J_atama",0,0.03,0.07,330,0,0,0.38
304,"J_atama",0,0.19,0.52,340,0,0,0.44
305,"J_atama",0,0,0.32,340,0,0,0.75
306,"J_atama",0,-0.03,0.63,330,0,0,0.83
307,"J_atama",0,0.33,0,340,0,0,0.49
308,"J_head",0,-0.18,0.38,340,0,0,0.46
309,"J_head",0,0.32,0.1,335,0,0,0.56
310,"J_head",0,0.2,0.08,340,0,0,0.7
311,"J_kao",0,0.01,0.017,340,0,0,0.6
312,"J_kao",0,0.01,0.007,332,0,0,0.68
313,"J_hed1",0,0.03,-0.4,340,0,0,0.63
314,"J_atama",0,0.018,0,340,0,0,0.47
