type,variation,unk3,unk4,unk5,baseHP,baseATK,baseDEF,baseINT,baseSPD,levelHP,levelATK,levelDEF,levelINT,levelSPD,battleAI,poisonResist,panicResist,paraResist,sleepResist,stunResist,dotResist,bugResist,deathResist,ATKResist,DEFResist,INTResist,SPDResist,padding1,padding2,padding3,EXP,EXPx2,YEN,YENx2,itemId1,itemChance1,itemId2,itemChance2,scanRate,unk32,unk33
9,1,8,1,0,15450,3300,7050,3750,4800,438,165,135,195,135,91,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,10,60,6,27,60,1305,20,20,209,0
9,2,8,1,0,66000,3300,4050,3750,4800,5400,135,165,135,120,92,0,100,0,0,0,100,0,100,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,209,0
10,1,8,1,0,20550,11250,8250,6000,7500,450,120,195,180,120,101,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,16,120,12,50,20,359,20,15,208,13
10,2,8,1,0,37800,10050,14700,10800,6750,828,108,351,324,108,102,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,16,120,12,-1,0,15,100,15,208,13
10,3,8,1,0,82500,11250,8250,6000,7500,1800,195,180,120,150,103,0,100,0,0,0,50,0,50,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,208,13
10,4,8,1,0,61650,33750,24750,18000,22500,1350,360,540,540,360,104,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,8000,0,19500,0,351,20,399,10,15,208,13
12,1,8,1,0,16800,7500,6750,6750,11250,337,165,150,150,150,121,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,16,120,12,56,10,1111,6,15,208,0
12,2,8,1,0,75000,9000,6750,6750,11250,1350,150,150,150,195,122,0,50,0,0,0,50,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,208,0
12,3,8,1,0,115000,15000,4500,4500,15300,900,100,100,100,130,123,100,100,30,30,0,30,0,100,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,208,0
13,1,8,1,0,7500,3750,4500,11250,10500,300,195,120,135,195,131,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,16,120,12,110,20,334,20,15,208,10
13,2,8,1,0,52500,2550,12750,18000,13500,264,165,102,114,165,132,0,0,0,0,0,0,0,100,0,0,0,0,-1,-1,-1,4,16,120,12,110,20,334,20,15,208,10
14,1,8,1,0,20550,8250,9000,6300,7200,412,165,150,150,150,141,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,16,120,12,71,40,1213,10,15,208,0
14,2,8,1,0,127500,16950,27000,15000,16500,412,165,150,150,150,142,100,100,100,100,100,100,0,100,0,0,0,0,-1,-1,-1,4,16,120,12,71,40,1213,10,15,208,0
14,3,8,1,0,82500,8250,9000,6300,7200,1650,150,150,150,165,143,0,50,0,0,0,0,0,50,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,208,0
15,1,8,1,0,15000,9000,6000,6000,12000,337,165,150,150,150,151,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,16,120,12,56,10,1003,10,15,216,6
15,2,8,1,0,60000,9000,6000,6000,12000,337,195,180,150,180,152,0,0,0,0,0,50,0,100,0,0,0,0,-1,-1,-1,4,16,120,12,56,10,1003,10,15,216,6
15,3,8,1,0,60000,9000,6000,6000,12000,4050,150,150,150,195,153,0,50,50,0,0,50,0,100,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,216,6
15,4,8,1,0,105000,16000,4000,4000,15900,900,100,100,100,130,154,80,80,50,50,0,100,0,100,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,216,6
21,1,8,1,0,43200,10500,10500,11250,8400,535,135,165,165,150,211,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,24,240,24,106,20,399,10,10,217,19
21,2,8,1,0,172500,10500,10500,14250,8400,1950,165,165,150,135,212,0,0,0,100,0,100,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,217,19
21,3,8,1,0,172500,10500,10500,14250,8400,1950,165,165,150,135,213,0,0,0,100,0,100,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,217,19
21,4,8,1,0,427500,10500,18000,36750,59850,1950,165,165,150,135,214,50,0,0,100,0,50,0,100,0,30,30,100,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,217,19
24,1,8,1,0,188250,1350,6000,54000,33000,408,185,76,170,185,241,0,100,100,100,0,0,0,100,0,0,0,0,-1,-1,-1,4,36,15750,0,-1,0,1415,100,5,208,4
24,2,8,1,0,190000,1000,13500,33000,26000,0,0,0,0,0,242,0,100,50,100,100,100,0,100,0,0,0,50,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,208,4
24,3,8,1,0,150000,3750,6750,21000,14250,1200,120,135,195,180,243,0,50,50,100,0,100,0,100,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,208,4
24,4,8,1,0,36000,3750,6750,21000,14250,495,120,135,195,180,244,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,36,480,48,22,10,1415,4,5,208,4
24,5,8,1,0,188250,1350,12000,42000,48000,1650,120,135,195,180,245,80,100,50,100,0,100,0,100,0,0,0,0,-1,-1,-1,32000,24,55500,0,-1,0,1415,100,0,208,4
27,1,8,1,0,277500,147000,24000,19500,34500,612,114,184,171,114,271,100,100,50,50,50,50,0,100,100,100,0,100,-1,-1,-1,4,36,34500,0,-1,0,1049,100,5,203,0
27,2,8,1,0,235000,58000,15000,14000,18500,0,0,0,0,0,272,50,50,50,50,50,50,50,100,50,0,0,50,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,203,0
27,3,8,1,0,200000,75000,17500,15000,27500,0,0,0,0,0,273,100,100,50,50,50,50,50,100,100,100,0,100,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,203,0
