ID,Japanese,English,Chinese,EnglishCensored,Korean,German
2,"","A rabbit-shaped mammal Digimon born from
fusing moon observation data. Its large ears
can recognize sounds from any distance.
Although timid, it gets lonely easily. Its
special move Tearing Shot scratches with claws
imbued with darkness, despite their cuteness.
Also, its move Lop-ear Ripple twirls its ears
to envelop enemies in a vortex of bubbles.","與月亮觀測數據融合而生， 有著兔子般樣貌的哺
乳類型數碼寶貝。大大的耳朵不管多遠的聲音都
能清楚聽到，雖然膽小，但很親人，容易寂寞。
必殺技是乍看之下很可愛，卻用蘊含黑暗力量的
爪子的抓擊「月之爪」，和將力量集中在額頭的
觸角，向敵人放出漂亮水球的「淚珠射擊」。另
外，還有旋轉耳朵，放出肥皂漩渦捲住敵人的「
垂耳波」。","","달의 관측 데이터와 융합하여 태어난
토끼와 같은 모습을 한 포유류형 디지몬.
큰 귀로 아무리 먼 소리라도 알아들을 수 있으며
겁쟁이지만 남을 잘 따르는 외로움쟁이.
필살기는 사랑스러워 보이지만 어둠의 힘이 담긴
손톱으로 할퀴는『루나 클로』와
힘을 이미의 촉각에 집중하여 아름다운 물방울을 
적에게 발사하는『티어 슛』. 또 귀를 빙글빙글 돌려
발생시킨 비눗방울 소용돌이로 적을 휘감는
『롭이어 리플(파장)』을 가졌다. ","Hasenartiges Säugetier-Digimon, das aus Mond-
beobachtungsdaten geboren wurde. Seine großen
Ohren können Geräusche aus jeder Entfernung
wahrnehmen. Scheu, wird aber auch leicht
einsam. Bei seinem Spezialmove „Reißschuss“
kratzt es mit Krallen, die trotz ihres
niedlichen Aussehens mit Dunkelheit getränkt
sind. Bei „Schlappohr-Welle“ verdreht es die
Ohren und hüllt Gegner in einen Strudel aus
Blasen ein."
3,"","A beast humanoid Digimon with astounding
jumping power that toys with its foes using
nimble movement. Elusive as the waning moon,
its appearance is somewhat mystical. Its
special moves are Moon Night Bomb, which puts
enemies to sleep with hypnotizing foam
released from its Moon Gloves, and Moon Night
Kick, sending it high into the sky to swoop
down and deliver powerful kicks.","有著驚人的彈跳力，能用迅速的動作玩弄敵人的
獸人型數碼寶貝。個性就像月亮有陰晴圓缺一般
難以捉摸，散發出神秘的氛圍。必殺技是用雙手
的“月之手套“產生具有催眠效果的水泡，投向
敵人的「月夜水彈」，和從背上的凸起拔出美麗
的冰箭發射的「淚珠之箭」。還有跳至空中，再
高速落下施展踢擊的「月夜飛踢」也很強悍。","","경이적인 점프력을 가지고
민첩한 움직임으로 적을 농락하는 수인형 디지몬.
달의 차고 기움에 따라 종잡을 수 없는 성격을
가졌지만 분위기는 어딘가 신비적이다.
필살기는 양손의 ""문 글러브""에서 발생하는
최면 효과가 있는 물거품을 던져
적을 잠재우는『문나이트 붐』과
등의 돌기에서 아름다운 얼음의 화살을 뽑아 쏘는
『티어 애로우』.
또한 공중으로 높이 도약해 급강하 킥을 연속으로
날리는『문나이트 킥』도 강력하다.","Tiermenschen-Digimon mit erstaunlicher
Sprungkraft, das Gegnern flink auf der Nase
herumtanzt. Um das Aussehen des äußerst
scheuen Digimon ranken sich Legenden. Seine
Spezialmoves sind „Mondnacht-Bombe“, wobei es
Gegner mit Hypnoseschaum aus seinen Mondhand-
schuhen schlafen schickt, und „Mondnacht-
Tritt“, wobei es hoch in die Luft springt und
im Sinkflug mächtige Tritte austeilt."
4,"","A titan wizard Digimon that uses its flexible
body to strike down foes with limber
movements. Specializing in elegant combat,
its power is said to double under the light
of the moon. Its special move Lunatic Dance
entrances foes with graceful steps, after
which it exploits the opening to slash them
with the Nova Luna blades in its hands.","身體柔軟，以優美動作討伐敵人的魔人型數碼寶
貝。擅長華麗戰鬥，據說只要照到月光，力量就
會倍增。必殺技是用舞蹈般的步伐迷惑敵人，並
縮短距離後，用雙手所持的武器「新月」使出的
斬擊「月亮瞬舞」。","","몸이 유연하고 부드러운 움직임으로 적을 토벌하는
마인형 디지몬.
유려한 전투가 특기이며 달빛을 받으면 그 힘이
배가된다고 한다.
필살기는 춤추는 듯한 스텝으로 적을 현혹하고
빈틈을 노려 양손에 지닌 무기
""노와 루나""를 써서 참격하는『루나틱 댄스』.","Ein Zaubertitan-Digimon, das Gegner mit
geschmeidigen Bewegungen niederstreckt.
Dieser elegante Kämpfer soll im Mondlicht
doppelt so stark sein. Sein Spezialmove
„Verrückter Tanz“ zieht Gegner mit anmutigen
Schritten in seinen Bann. Diese Gelegenheit
nutzt es, um ihn mit seinen Nova-Luna-Klingen
aufzuschlitzen."
5,"","A rock mineral Digimon discovered when an
ancient curse was digitally analyzed. An
ancient forbidden spell is carved onto its
back, the characters meaning ""epidemic"",
""curse"" and ""evil"". Apparently this is
protects it from the gas it emits. About 9%
of its body is rock data, with organic limbs
attached to its body. An unfeeling Digimon
that doesn't move unless ordered to.","在數位解析超古代的詛咒時，所發現的岩石．礦
物型數碼寶貝。背上刻著“疫”“呪”“凶”與
古代的禁忌咒文，似乎是用來防禦自身所產出的
氣體。身體有九成是由岩石的資料組成，是將手
腳綁著來生存。不被命令便不會行動，沒有感情
的數碼寶貝。","","초고대의 저주를 디지털 분석하고 있을 때 발견된 
암석, 광물형 디지몬.
등에는 ""역"", ""주"", ""흉""이라는 고대 금단의 주문이
조각되어 있는데 이는 스스로 내는 가스로부터
보호하기 위한 것이라고 한다.
몸의 약 9할이 암석 데이터로 되어있으며
손발을 매어둔 채 살고 있다.
명령을 받지 않으면 움직이지 않는 감정 없는 디지몬.","Ein Felsen-Digimon, das bei der Digitalanalyse
eines uralten Fluchs entdeckt wurde. Ein
uralter verbotener Zauber ist in seinen
Rücken eingraviert, dessen Zeichen „Seuche“,
„Fluch“ und „Böses“ bedeuten. Dieser schützt
es anscheinend vor dem Gas, welches es
verströmt. Ca. 90 % seines Körpers, dem
organische Gliedmaßen anhaften, bestehen aus
Felsendaten. Dieses gefühllose Digimon
bewegt sich ausschließlich auf Befehl."
6,"","This dark angel Digimon fell into the Dark
Area in the pursuit of strength and
destruction, its appearance a shade of what it
once was. But its evil was even more refined,
and now its dark powers are unfathomable. Its
DigiCore condensing such mighty dark power is
called a Dark Core, and is unique to demon
type Digimon. Its special move Nail Bone is a
fearsome technique, emitting powerful light
from the jewel on the tip of its staff to
cause abnormalities in a Digimon's data and
destroy it.","追求強大與破壞，墮入黑暗區域的墮天使型數碼
寶貝的最終樣貌。但作為邪惡更加洗鍊，無法估
計其所有的黑暗力量。凝聚強大黑暗力量的數碼
核，是惡魔系數碼寶貝特有的「黑核」。必殺技
的「闇墮骨爪」，是用接在長杖前端的寶珠放出
強力光芒，對數碼核引發異常，造成破壞的恐怖
招式。","","힘과 파괴를 추구하다가 다크 에어리어로 추락한
타천사형 디지몬의 영락한 말로.
그러나 보다 사악하고 세련되어졌으며
그 암흑 파워는 헤아릴 수 없다.
강력한 암흑 파워가 응축된 디지코어는
악마계 디지몬 특유의「다크 코어」로 불린다.
필살기인「네일 본」은 지팡이 끝에 붙은
보석에서 발하는 강력한 빛으로
디지몬의 데이터 이상을 일으켜
파괴하는 무서운 기술이다.","Böses Engel-Digimon, das auf der Suche nach
Kraft und Zerstörung ins Dunkle Gebiet
geriet. Es war ein Schatten seiner selbst,
doch sein Böses war noch reiner geworden und
seine dunklen Mächte sind nun unermesslich.
Sein Dunkler Kern, der die Mächte verdichtet,
ist Digimon des Dämonentyps vorbehalten. Sein
furchterregender Spezialmove „Nagelknochen“
lässt ein starkes Licht aus dem Juwel an der
Spitze seines Stabs schießen, das Anomalien
in Digimondaten verursacht und sie zerstört."
9,"","A mutated machine Digimon with a
body composed of countless turning
gears. If even a single gear is removed, all
of the other gears will stop turning and it
will be unable to maintain its life force.
Hagurumon can transmit a computer virus to
its opponent and control it, an ability
exploited by villainous Digimon. Hagurumon
has no sense of self, and doesn't understand
it's being used for evil. Its special move
Cog Crusher buries an infected black gear
in its opponent, driving them crazy.","擁有齒輪般外表的變種機械型數碼寶貝。
體內由無數的齒輪所組成，不斷地轉動。
因此，假使有任何一個齒輪脫落，
都會讓它全身的齒輪停止轉動，
使它無法維繫生命徵象。
齒輪獸擁有將電腦病毒輸入敵人體內，
隨意加以操控的特殊能力，
它的這項能力受到邪惡的數碼寶貝利用。
然而，由於齒輪獸本身不具有自我意識，
因此並不知道自己遭到濫用。
必殺技是將含有電腦病毒的黑色齒輪埋入敵人體內，
讓敵人發狂的『黑暗齒輪』。","","톱니바퀴 형태의 변종 머신형 디지몬.
체내에도 무수한 톱니바퀴가 장착되어 있어 늘 톱니바퀴가
회전하고 있다. 그래서 1개라도 톱니바퀴가 빠져버리면
온 몸의 톱니바퀴가 회전을 멈추어 생명 활동을
유지할 수 없게 된다.
톱니몬은 상대방에게 컴퓨터 바이러스를 보내
뜻대로 조종하는 특수한 능력을 가졌으나 그 능력은
흉악한 디지몬에게 이용당하고 있다. 그러나
톱니몬 자체는 자아를 갖지 않았기 때문에 악용된다는
것을 알 여지도 없다. 필살기는 컴퓨터가 바이러스를 
넣은 검은 톱니바퀴를 상대의 몸에 집어넣어
미치게 만드는『톱니바퀴 포』.","Ein mutiertes Maschinen-Digimon, dessen Körper
aus unzähligen Zahnrädern besteht. Wenn auch
nur ein Zahnrad fehlt, stehen alle anderen
still und das Digimon ist nur noch eine
leblose Hülle. Hagurumon kann einen Virus
auf seinen Gegner übertragen und ihn
kontrollieren. Diese Fähigkeit wird von bösen
Digimon ausgenutzt. Hagurumon nimmt sich
selbst nicht wahr und merkt nicht, dass es zu
bösen Zwecken benutzt wird. „Zahnrad-
zermalmer“ versenkt ein infiziertes Zahnrad
im Gegner und macht ihn wahnsinnig."
10,"","A fire Digimon completely shrouded in flames.
A Digimon born from firewalls made to protect
against illegal entry on the Internet. Its
disposition is as violent as the flames
around its body, scorching everything that it
touches. Like other species from File Island
its firepower is strong, and this Digimon is
quite difficult to tame. Even if you've won
it over provisionally, it might still
turn on you. Its special move Burning Fist
flares up both arms and strikes the opponent.","全身纏繞著紅蓮火焰的火焰型數碼寶貝。
誕生自網路上為防止非法入侵的防禦牆
「防火牆」之數碼寶貝。
有著如同圍繞全身的火焰般暴躁的個性，
會將接觸到的所有事物燃燒殆盡。
比起檔案島上同種的數碼寶貝火力更強，
且這隻數碼寶貝非常難以馴服，
即使馴服了也不知道它什麼時候會再次反抗。
必殺技是讓雙臂熊熊燃燒，
而後毆打敵人的『火焰重拳』。","","전신에 홍련의 화염을 걸친 화염형 디지몬.
인터넷 등에서 부정한 침입을 방어하기 위한 방어벽
""파이어월""에서 발생한 디지몬으로
그 몸을 감싼 화염처럼 격한 성질을 가지고 있어
닿은 모든 것을 불태우려고 한다.
파일섬의 동족보다 화력이 강하며 이러한 디지몬은
손에 넣기는 매우 어렵다. 만약 입수했다고 해도
언제 이빨을 드러낼지 모른다.
필살기는 두 팔을 불태워 상대에게 때려박는
『불타는 주먹』.","Ein vollständig in Flammen gehülltes
Feuer-Digimon. Es wurde aus Firewalls geboren,
die im Internet vor unerlaubtem Zugriff
schützen sollen. Es ist so gnadenlos wie die
Flammen, die es umgeben, und versengt alles,
was es berührt. Wie andere Arten von der
Dateiinsel besitzt dieses Digimon eine hohe
Angriffskraft und ist schwer zu zähmen.
Selbst wenn man es vorerst gebändigt hat,
kann es sich noch gegen einen wenden. Bei
seinem Spezialmove „Feuerfaust“ entflammt
es beide Arme und schlägt auf den Gegner ein."
11,"","A mythical beast Digimon with gigantic wings.
This monster is extremely valuable, and
thought to be close to a god. It specializes
in mid-air combat, invoking storms with its
howls and creating massive tornados with
its wings. It has a brutal nature, with high
intelligence to match. Still, it is nearly
impossible for the average Tamer to control
it. Its special move Spinning Needle produces
a cutting vacuum from the thrashing of its
humongous wings.","長有巨大翅膀的幻獸型數碼寶貝。是非常珍貴的
怪獸，被認為是接近神的存在。擅長進行空中攻
擊，咆哮會喚來暴風雨，振翅會引發巨大的龍捲
風。性格雖然非常兇暴，卻有著高度的智慧。不
過，不可能被普通的馴獸師所驅使。必殺技是拍
打巨大翅膀，產生鋒利的真空刀刃「旋針」。","","거대한 날개가 돋아난 환수형 디지몬.
매우 귀중한 몬스터로 신에 가까운 존재로 전해진다.
공중으로부터의 공격이 특기이며 그 포효는 폭풍을 일으키고
날개를 펼치면 거대한 회오리가 일어난다.
성격는 상당히 흉폭하지만 높은 지성을 가지고 있다.
그러나 평범한 테이머가 사역하는 것은 보통 불가능할 것이다.
필살기는 거대한 날개를 퍼덕여
예지한 진공 칼날을 발생시키는『스피닝 니들』.","Ein mythisches Tier-Digimon mit Riesenflügeln.
Dieses Monster ist äußerst wertvoll und soll
gottähnlich sein. Das Geheul dieses Luft-
kampfprofis ruft Stürme hervor und seine
Flügel verursachen große Tornados. Es ist
gleichermaßen unerbittlich und intelligent.
Durchschnittliche Zähmer können es kaum unter
Kontrolle bringen. Sein Spezialmove „Drehende
Nadel“ verursacht einen schneidenden Sog
durch das Schlagen seiner gewaltigen
Schwingen."
12,"","A lupine beast Digimon covered in blue, white
and silver fur. With fur as hard as the rare
metal mithril, blades on its shoulders are
extremely sharp, dicing anything they touch
to pieces. Its battle instinct is fierce like
the arctic tundra that forged its muscles. A
carnivore's agility and the accuracy to take
out its target make it feared by other
Digimon. Yet it's also quite intelligent, and
obeys its master or leader without fail. Its
special move Fox Fire fires a bright blue
flame from its mouth.","全身為藍、銀白色的毛皮覆蓋，
有著狼之外表的獸型數碼寶貝。
它的體毛有如被稱為稀有金屬的「秘銀」一般堅硬，
從肩膀伸出的刀刃無比銳利，
能將接觸到的事物一刀兩斷。
有著在極寒之地鍛鍊出來的肌肉，
以及強烈的鬥爭本能，
具有肉食獸的敏捷性，以及確實捕獲獵物的精準性，
是受到其他數碼寶貝畏懼的存在。
但它擁有高度的智能，
會忠實服從主人或領袖等它所認可的存在。
必殺技是從嘴裡吐出灼熱藍色火焰的『妖狐火焰』。","","청백색 은빛털로 덮인 늑대와 같은 모습을 한
짐승형 디지몬.
그 체모는 전설의 레어메탈로 불리는 ""미스릴""만큼
단단하고 어깻죽지에서 뻗은 블레이드는 날카로운
날을 가지고 있어 닿는 것을 모두 잘라버린다.
극한의 땅에서 단련된 근육과 격렬한 전투본능을 가지며
육식동물과 같은 민첩성과 표적을 확실하게 잡는
정확함을 가지고 있어 다른 디지몬으로부터 두려움을
사는 존재. 하지만 지성이 매우 높고 주인이나 리더와
인정한 자에게는 충실하게 따른다.
필살기는 입으로 고열을 내뿜는 파란 불꽃
『푸른화염포』.","Ein wolfartiges Tier-Digimon mit blauem,
weißem und silbernem Fell. Sein Fell ist so
hart wie das seltene Metall Mithril, die
Schulterklingen so scharf, dass sie alles
durchtrennen, was sie berühren. Sein
Kampfgeist ist so unnachgiebig wie die
arktische Tundra, die seine Muskeln formte.
Schnell und präzise wie ein Raubtier erlegt
es sein Ziel und ist daher gefürchtet. Es ist
auch sehr intelligent und gehorcht seinem
Meister bedingungslos. Bei „Fuchsfeuer“
schießt eine hellblaue Flamme aus dem Mund."
13,"","A ghost Digimon with a cloth over its body.
A wicked being born from the darkness,
computers possessed by Bakemon are said to
have their systems destroyed. The contents of
the cloth are wrapped in mystery, and the
shadow under its real form supposedly becomes
a black hole. It lacks attack power so it
doesn't like attacking directly. Its special
move Death Charm casts a powerful curse.
Anyone cursed by this who lacks a strong mind
will die in seconds.","從頭到腳蓋著一塊白布的幽靈數碼寶貝。
它是從黑暗誕生的邪惡存在，
據說被猛鬼獸附身的電腦，系統會在瞬間遭到破壞。
白布底下的一切都籠罩在謎團中，
在本體底下的陰影，也有一說是黑洞。
戰鬥力並不高，因此不喜歡直接攻擊敵人。
必殺技是對敵人施展強大詛咒的『死亡魅惑』。
只要不是有著堅毅精神的人，
受到這招攻擊後數秒鍾內就會喪命。","","천을 머리부터 푹 뒤집어 쓴 유령 디지몬.
어둠에서 태어난 사악한 존재로 고스몬에 씌인
컴퓨터는 순식간에 시스템이 파괴된다고 한다.
천 안쪽은 완전히 수수께끼에 싸여 있으며 본체 속
에 있는 그림자 부분은 블랙홀이라는 설도 있다. 
전투력은 높지 않기 때문에 직접 공격은 선호하지 않는다.
필살기는 강력한 저주를 거는『유령손톱』.
이 기술을 받은 자는 강인한 정신의 소유자가 아닌 한
몇 초만에 절명할 것이다.","Ein Geist-Digimon, das in ein Tuch gehüllt
ist. Dieses boshafte Wesen wurde aus der
Dunkelheit geboren. Von ihm besessene
Computer werden völlig zerstört. Was sich
unter dem Tuch verbirgt, ist ein Geheimnis,
und der Schatten unter seiner wahren Gestalt
ist möglicherweise ein schwarzes Loch.
Da es Bakemon an Kraft mangelt, greift es
ungern direkt an. Bei seinem Spezialmove
„Todeszauber“ wirkt es einen mächtigen Fluch.
Jeder, der keinen starken Willen besitzt,
fällt ihm innerhalb von Sekunden zum Opfer."
