id,digimon
730,IceDevimon
758,Icemon
15,Aquilamon
676,Agunimon
64,Arcadiamon Champion
711,Ankylomon
344,Ikkakumon
377,Wizardmon
680,Lobomon
393,Woodmon
11,Airdramon
365,ExVeemon
87,Angemon
394,Ogremon
341,Guardromon
760,Guardromon (Gold)
68,GaoGamon
304,Kabuterimon
455,ShellNumemon
710,Gargomon
12,Garurumon
714,Garurumon (Black)
395,Kyubimon
78,Growlmon
630,Kurisarimon
326,Greymon
712,Greymon (Blue)
398,Clockmon
367,Kuwagamon
399,Gekomon
729,Geremon
218,Coredramon (Blue)
209,Coredramon (Green)
113,GoldNumemon
5,Golemon
452,Cyclonemon
30,Sangloupmon
58,Sunflowmon
347,Seadramon
130,Coelamon
54,GeoGreymon
313,Sukamon
14,Starmon
91,Stingmon
16,Strikedramon
698,Zubaeagermon
755,Socerimon
621,Tankmon
759,MudFrigimon
363,Tyrannomon
92,Gatomon
93,Devimon
102,Turuiemon
349,Togemon
396,Dorugamon
375,Nanimon
70,Numemon
308,Birdramon
115,BaoHuckmon
13,Bakemon
397,Veedramon
22,Hudiemon
752,PlatinumSukamon
43,BlackGatomon
314,Vegiemon
702,Peckmon
10,Meramon
369,Monochromon
370,Frigimon
548,Unimon
25,Raptordramon
590,Raremon
72,Leomon
3,Lekismon
77,Reppamon
454,Waspmon
191,Ginryumon
783,Sistermon Noir
784,Sistermon Noir (Awaken)
