id,digimon
50,Agumon
143,Agumon (Black)
63,Arcadiamon Rookie
707,Armadillomon
81,Impmon
564,Elecmon
582,Otamamon
55,Gaomon
569,Gazimon
151,Gabumon
713,Gabumon (Black)
90,Guilmon
53,Kudamon
626,Keramon
595,Gotsumon
111,Goblimon
343,Gomamon
709,Syakomon
697,Zubamon
166,Solarmon
20,Chuumon
701,Terriermon
303,Tentomon
708,ToyAgumon
457,Dracmon
208,Dracomon
112,Dorumon
9,Hagurumon
96,Patamon
687,Hackmon
348,Palmon
97,Demidevimon
307,Biyomon
705,Falcomon
42,FanBeemon
114,Veemon
178,Salamon
389,Betamon
706,Hawkmon
607,Mushroomon
458,Monodramon
56,Lalamon
390,Lucemon
2,Lunamon
391,Renamon
750,Lopmon
392,Wormmon
190,Ryudamon
781,Sistermon Blanc
782,Sistermon Blanc (Awaken)
