id,digimon
911,Arcadiamon Mega
416,Alphamon
417,UlforceVeedramon
451,Ebemon
732,Imperialdramon DM
419,Imperialdramon FM
346,Vikemon
773,Valkyrimon
117,Varodurumon
600,VenomMyotismon
27,WarGreymon
421,Ophanimon
744,Gaiomon
677,KaiserGreymon
150,ChaosGallantmon
422,Chaosdramon
688,Gankoomon
127,KingEtemon
754,Kuzuhamon
423,GranKuwagamon
32,GranDracmon
704,GroundLocomon
83,Gryphonmon
734,Craniamon
774,Kerpymon (Black)
735,Kerpymon (Good)
48,Goldramon
424,SaberLeomon
425,Sakuyamon
749,Jesmon
94,ShineGreymon
776,ShineGreymon BM
737,Justimon
86,Kentaurosmon
213,Slayerdramon
315,Seraphimon
741,MegaGargomon
771,Darkdramon
745,TigerVespamon
440,Titamon
128,TyrantKabuterimon
733,Dianamon
632,Diaboromon
38,Creepymon
126,Gallantmoon
738,Dynasmon
700,Durandamon
739,Leopardmon
743,Leopardmon LM
19,Dorugoramon
75,Neptunemon
426,HiAndromon
60,PileVolcamon
36,Barbamon
49,BanchoLeomon
427,Piedmon
428,Puppetmon
69,PlatinumNumemon
175,BlackWarGreymon
429,PrinceMamemon
214,Brakedramon
450,Plesiomon
306,HerculesKabuterimon
35,Beelzemon
775,Beelzemon BM
439,Belphemon SM
310,Hououmon
453,Magnadramon
431,Boltmon
678,MagnaGarurumon
675,MagnaGarurumon (SV)
748,Mastemon
24,MarineAngemon
747,Minervamon
95,MirageGaogamon
777,MirageGaogamon BM
385,Machinedramon
47,Megidramon
312,MetalEtemon
135,MetalGarurumon
182,MetalGarurumon (Black)
434,MetalSeadramon
80,Merukimon
383,RustTyranomon
37,Leviamon
34,Lilithmon
740,Ravemon
778,Ravemon BM
703,Crusadermon
57,Rosemon
779,Rosemon BM
742,Lotosmon
901,Alphamon NX
902,Crusadermon NX
903,Leopardmon NX
904,Omnimon NX
905,Gallantmon NX
193,Ouryumon
