id,nameId?,Unk2_1,Unk2_2,Unk3_1,Unk3_2,Unk4_1,Unk4_2,Unk5,Unk6_1,Unk6_2,Unk7_1,Unk7_2,Unk8_1,Unk8_2,Unk9,Unk10_1,Unk10_2,Unk11_1,Unk11_2,Unk12_1,Unk12_2,Unk13,Unk14_1,Unk14_2,Unk15_1,Unk15_2,Unk16_1,Unk16_2,Unk17,Unk18_1,Unk18_2,Unk19_1,Unk19_2,Unk20_1,Unk20_2,Unk21,Unk22_1,Unk22_2,Unk23_1,Unk23_2,Unk24_1,Unk24_2,Unk25,Unk26_1,Unk26_2,Unk27_1,Unk27_2,Unk28_1,Unk28_2,Unk29,Unk30_1,Unk30_2,Unk31_1,Unk31_2,Unk32_1,Unk32_2,Unk33,Unk34_1,Unk34_2,Unk35_1,Unk35_2,Unk36_1,Unk36_2,Unk37,Unk38_1,Unk38_2,Unk39,Unk40
91,1021,0,0,15,0,0,0,-1,0,0,0,0,0,0,3027,0,0,25,0,0,0,3030,0,0,15,0,0,0,3033,0,0,5,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,5000,0,0,40,0
92,1021,0,0,30,0,0,0,-1,0,0,0,0,0,0,3030,0,0,25,0,0,0,3031,0,0,25,0,0,0,3033,0,0,20,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0
101,1082,0,0,10,0,0,0,-1,0,0,0,0,0,0,3090,0,0,30,0,0,0,3001,0,0,10,0,0,0,3004,0,0,10,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,5000,0,0,40,0
102,1082,0,0,10,0,0,0,-1,0,0,0,0,0,0,3090,0,0,30,0,0,0,3000,0,0,10,0,0,0,3003,0,0,10,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,5000,0,0,40,0
103,1082,0,0,25,0,0,0,-1,0,0,0,0,0,0,3090,0,0,15,0,0,0,3001,0,0,25,0,0,0,3007,0,0,25,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,5000,0,0,10,0
104,1082,0,0,10,0,0,0,-1,0,0,0,0,0,0,3100,0,0,15,0,0,0,3002,0,0,25,0,0,0,3008,0,0,30,0,0,0,3082,0,0,15,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,5000,0,0,5,0
121,1050,0,0,35,0,0,0,-1,0,0,0,0,0,0,3093,0,0,30,0,0,0,3040,0,0,15,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,5000,0,0,20,0
122,1050,0,0,35,0,0,0,-1,0,0,0,0,0,0,3093,0,0,10,0,0,0,3040,0,0,20,0,0,0,3042,0,0,15,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,5000,0,0,20,0
123,1050,0,0,0,0,0,0,-1,0,0,0,0,0,0,3103,0,0,20,0,0,0,3044,0,0,20,0,0,0,3038,0,0,20,0,0,0,3082,0,0,20,0,0,0,3085,0,0,20,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0
131,1076,0,0,10,0,0,0,-1,0,0,0,0,0,0,3067,0,0,25,0,0,0,3639,0,0,25,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,5000,0,0,40,0
