id,digi1,digi2,digi3,digi4,digi5,digi6
697,675,26,314,326,35,714
403,761,428,775,87,396,59
38,422,19,21,53,78,626
112,88,96,411,349,71,128
390,408,94,781,107,322,117
21,739,708,679,16,192,718
910,71,112,682,781,75,215
564,106,62,910,320,675,49
391,735,709,341,59,326,774
346,58,359,630,427,191,101
94,699,754,56,911,512,737
759,774,363,759,720,11,317
711,779,348,59,63,621,175
69,365,132,49,453,47,58
44,308,706,738,912,97,773
745,69,512,214,2,771,756
9,47,22,750,58,94,400
758,438,151,903,679,70,411
182,631,404,389,776,55,60
621,417,399,721,714,716,764
687,762,95,215,117,905,709
396,175,458,102,759,361,747
630,303,302,778,64,321,458
904,782,394,140,396,708,708
71,452,407,772,455,56,55
349,128,515,10,764,723,412
734,778,548,377,361,416,307
95,626,306,320,567,37,629
425,210,607,41,175,760,590
739,771,190,704,308,515,102
714,96,412,82,113,510,697
317,374,301,69,328,106,423
135,126,150,596,910,629,439
413,91,420,739,3,747,383
342,25,621,722,307,209,397
177,457,129,84,677,698,130
56,423,902,64,65,514,348
97,359,688,702,710,93,390
61,367,310,97,42,715,395
22,729,416,729,904,5,429
417,361,39,435,397,776,437
595,104,4,208,621,743,704
773,111,37,718,761,377,419
306,905,784,771,369,77,729
66,426,312,548,745,395,209
392,400,377,715,306,345,190
85,32,50,73,402,426,84
127,773,209,398,905,58,66
54,600,781,401,313,111,191
383,706,48,95,435,30,600
420,405,344,698,128,454,751
307,97,308,369,596,347,42
452,731,35,25,756,683,427
699,453,25,440,370,738,621
389,118,30,681,687,41,735
607,416,360,426,20,370,405
438,87,55,731,68,548,303
729,107,218,629,512,439,413
25,783,114,112,400,455,771
676,26,409,431,739,20,408
722,214,84,118,35,363,19
305,83,434,192,344,50,325
16,742,364,399,582,392,327
576,455,193,567,43,737,401
101,190,911,777,126,398,192
744,345,107,762,395,774,81
740,325,761,428,382,595,50
703,681,86,697,150,421,762
454,140,49,766,106,91,32
320,711,32,47,6,140,744
130,62,210,740,80,428,677
712,439,778,400,716,193,193
190,723,314,151,389,126,576
435,411,304,2,631,400,627
30,65,904,727,85,453,4
308,10,595,94,388,382,41
14,191,715,54,322,763,758
760,721,777,88,385,129,364
24,510,143,406,416,25,40
753,343,740,91,118,349,116
12,682,743,407,730,3,6
901,676,751,683,771,72,151
600,758,406,782,90,10,743
393,56,74,675,584,902,723
126,70,115,105,722,564,425
704,30,66,706,403,751,564
718,420,676,349,30,706,731
751,211,687,106,364,134,92
404,398,79,450,92,328,218
311,435,704,701,387,582,374
341,383,429,350,213,681,727
93,101,326,710,772,369,440
732,49,629,901,627,21,396
596,306,31,582,73,741,403
345,688,127,388,55,704,126
34,14,721,40,191,437,728
590,715,738,375,210,749,71
629,304,753,53,747,727,721
749,396,423,26,115,707,911
359,22,627,70,71,325,77
774,678,437,711,515,422,343
43,314,779,422,741,688,342
750,709,80,86,345,376,34
90,903,742,44,774,307,720
26,590,320,85,783,315,326
151,777,375,38,423,406,393
116,42,36,126,766,408,382
631,700,749,437,347,350,79
726,377,383,9,743,758,12
455,567,903,590,135,151,687
440,402,718,595,704,773,752
782,440,680,34,778,105,716
421,390,117,96,302,116,363
510,20,764,55,784,703,699
410,24,729,434,15,63,726
49,607,421,39,755,404,450
766,116,346,50,79,411,398
748,548,697,452,548,92,114
398,80,435,71,192,389,104
48,54,106,735,713,311,582
79,399,590,16,698,114,757
783,764,191,680,23,346,118
50,757,731,114,312,393,434
458,412,54,93,38,342,632
419,75,758,134,327,631,208
37,84,564,776,367,711,23
78,421,734,773,712,104,715
57,703,82,734,375,765,211
107,582,58,453,782,452,22
705,117,722,6,25,313,64
150,77,342,779,86,748,428
60,349,33,393,412,397,135
312,705,457,749,48,107,779
453,741,65,703,4,305,512
192,114,905,302,763,44,722
387,40,130,328,413,697,213
115,755,411,424,214,438,35
328,302,14,43,409,458,148
132,732,732,514,750,910,367
700,82,707,63,630,391,310
129,379,422,621,392,401,68
911,763,56,61,452,755,772
33,385,727,905,753,750,701
675,93,60,713,718,399,315
720,143,327,347,676,705,36
903,112,391,182,723,74,377
742,102,387,705,424,309,679
412,34,455,417,721,451,422
72,31,44,737,701,729,10
730,403,413,326,457,135,39
723,60,393,600,143,359,87
514,392,350,22,140,32,510
67,347,57,321,22,344,106
58,320,912,60,315,130,514
20,321,453,912,727,457,409
211,718,104,143,429,434,48
702,322,388,439,742,911,143
437,733,68,304,758,84,584
763,37,75,311,83,375,302
752,902,569,11,75,680,630
779,434,148,301,420,40,730
379,427,370,115,114,115,676
