id,digi1,digi2,digi3,digi4,digi5,digi6
629,515,0,0,0,0,0
387,514,322,567,325,0,0
437,325,515,321,438,388,0
317,512,62,515,0,0,0
320,510,631,512,438,322,0
62,705,701,762,761,0,0
322,90,761,20,208,0,0
512,2,96,9,697,0,0
438,111,389,713,0,0,0
631,569,765,762,708,112,682
325,112,361,0,0,0,0
515,50,143,569,626,63,0
567,697,709,687,595,0,0
510,582,0,0,0,0,0
514,765,0,0,0,0,0
388,390,208,764,0,0,0
321,63,389,0,0,0,0
50,399,13,716,313,0,0
143,12,308,0,0,0,0
63,68,397,0,0,0,0
707,377,730,710,0,0,0
81,630,454,14,711,702,326
564,5,367,0,0,0,0
582,102,399,0,0,0,0
55,365,93,621,87,64,729
569,92,363,454,5,0,0
151,25,394,367,680,0,0
713,191,314,349,78,209,452
90,91,395,92,0,0,0
53,759,752,102,314,0,0
626,11,5,0,0,0,0
595,783,676,341,68,0,0
111,92,22,58,347,0,0
343,314,0,0,0,0,0
709,308,0,0,0,0,0
697,630,0,0,0,0,0
728,11,54,0,0,0,0
20,370,16,548,341,0,0
701,25,0,0,0,0,0
303,702,30,758,0,0,0
708,760,396,13,0,0,0
457,64,341,349,43,0,0
208,347,0,0,0,0,0
112,760,91,191,702,394,0
9,64,58,711,377,0,0
96,394,0,0,0,0,0
687,363,0,0,0,0,0
348,16,367,78,15,621,308
97,676,714,13,698,758,590
307,58,13,0,0,0,0
705,64,191,70,630,394,399
42,10,64,452,209,729,0
114,590,43,14,130,759,0
361,22,369,15,11,712,12
389,54,58,70,396,0,0
706,308,349,0,0,0,0
607,676,304,621,0,0,0
458,752,0,0,0,0,0
56,12,349,54,0,0,0
390,375,91,0,0,0,0
2,548,455,621,454,347,349
391,304,313,347,12,58,752
750,92,698,11,14,347,590
392,783,70,698,730,0,0
190,304,0,0,0,0,0
781,452,365,0,0,0,0
682,313,0,0,0,0,0
761,64,702,91,0,0,0
762,729,115,87,209,10,395
763,676,758,0,0,0,0
764,394,396,755,714,399,30
765,11,5,0,0,0,0
730,627,376,210,0,0,0
758,302,0,0,0,0,0
15,84,23,44,79,410,0
676,379,364,402,31,26,727
64,41,751,406,129,0,0
711,132,0,0,0,0,0
344,376,84,327,406,596,0
377,406,412,411,0,0,0
680,148,44,41,364,0,0
393,408,374,134,0,0,0
11,405,627,82,0,0,0
365,576,0,0,0,0,0
87,681,400,721,715,0,0
394,85,210,4,723,0,0
341,41,23,715,576,0,0
760,751,727,406,4,753,405
68,210,116,107,0,0,0
304,192,210,129,412,33,0
455,23,751,61,84,342,79
710,44,679,4,84,0,0
12,412,0,0,0,0,0
714,132,413,751,364,0,0
395,731,0,0,0,0,0
78,364,6,71,74,311,0
630,311,404,0,0,0,0
326,59,401,148,177,720,721
712,715,404,31,0,0,0
398,584,403,302,210,0,0
367,61,751,0,0,0,0
399,311,627,401,409,681,0
729,65,31,719,0,0,0
218,411,0,0,0,0,0
209,403,376,406,723,0,0
113,364,401,751,407,61,681
5,751,727,753,59,401,342
452,408,403,0,0,0,0
30,345,400,401,0,0,0
58,116,679,84,148,718,627
347,722,65,407,311,342,0
130,404,751,59,0,0,0
54,407,0,0,0,0,0
313,327,85,627,4,129,0
14,302,0,0,0,0,0
91,140,85,177,576,400,0
16,400,364,379,177,0,0
698,327,71,404,0,0,0
755,731,41,756,596,148,723
621,715,584,0,0,0,0
759,699,4,374,359,405,409
363,402,0,0,0,0,0
92,681,0,0,0,0,0
93,129,406,359,39,407,0
102,129,756,82,0,0,0
349,342,403,116,584,0,0
396,210,405,0,0,0,0
375,41,405,401,576,699,715
70,26,74,84,305,0,0
308,699,31,26,342,65,720
115,84,31,0,0,0,0
13,408,33,627,407,403,0
397,327,379,74,407,116,0
22,39,134,302,584,44,0
752,177,408,305,31,211,401
43,107,311,101,0,0,0
314,31,584,210,342,132,0
702,6,406,0,0,0,0
10,305,0,0,0,0,0
369,718,405,726,0,0,0
370,192,23,79,411,376,751
548,309,679,302,84,0,0
25,404,101,210,727,0,0
590,342,71,718,211,0,0
72,211,342,756,0,0,0
3,101,359,177,71,192,0
77,305,0,0,0,0,0
454,134,107,73,401,84,0
191,403,4,0,0,0,0
783,751,192,409,699,0,0
716,305,0,0,0,0,0
305,905,95,80,47,36,742
65,902,127,126,49,0,0
731,734,193,450,94,0,0
342,94,427,0,0,0,0
756,738,37,0,0,0,0
627,774,0,0,0,0,0
85,182,0,0,0,0,0
210,429,417,0,0,0,0
679,734,36,0,0,0,0
400,735,213,27,632,0,0
311,738,27,0,0,0,0
148,678,0,0,0,0,0
401,95,94,773,0,0,0
309,683,182,312,688,128,784
681,683,19,0,0,0,0
402,47,427,0,0,0,0
44,732,771,135,741,422,773
727,733,740,416,315,440,60
211,429,36,748,416,427,0
403,86,704,0,0,0,0
26,182,135,421,150,0,0
4,315,427,677,704,57,0
719,428,749,182,0,0,0
723,27,0,0,0,0,0
