ID,Japanese,English
1001,,Llama Bebé
1002,,Escupefuego
1003,,Piedra Rodante
1004,,Invocación
1005,,Trueno Chispeante
1006,,Nana de Burbujas
1007,,Revés Doble
1008,,Hálito Paralizador
1009,,Minifuego
1010,,Romperrocas
1011,,Fogonazo Extremo
1012,,Risa Alocada
1013,,Rocas Furiosas
1014,,Gobligolpe
1015,,Marcha de Peces
1016,,Perla Negra
1017,,Tornado Diminuto
1018,,Minitrueno
1019,,MecaLlama
1020,,Cañón Metálico
1021,,Engranaje de Oscuridad
1022,,Disparo de Aire
1023,,Arremetida Quíntuple
1024,,Hiedra Venenosa
1025,,Mini Dardos
1026,,Fuego Mágico
1027,,Plumiriken
1028,,Cabezazo V-Mon
1029,,Aullido de Cachorro
1030,,Descarga Eléctrica
1031,,Pluma Cortante
1032,,Disparo de Nueces
1033,,Gran Cruz
1034,,Hojas Punzantes de Zorro
1035,,Hielo Abrasador
1036,,Red Pegajosa
1037,,Cornada en Picado
1038,,Cola Martillo
1039,,Arpón Vulcano
1040,,Nube Eléctrica
1041,,Rama Drenante
1042,,Láser-X
1043,,Puño Celestial
1044,,Puño del Rey Supremo
1045,,Granada Destructora
1046,,Soplo Espiral
1047,,Megaexplosión
1048,,Caca Fermentada
1049,,Gancho Dum-Dum
1050,,Fuego de Zorro
1051,,Fuegos Fatuos
1052,,Llama de Combustión
1053,,Trituradora de Datos
1054,,Megallama
1055,,Cronodesgarro
1056,,Pinzas Tijera
1057,,Sinfonía de Choque
1058,,Avalancha Duri-ada
1059,,Hiperfogonazo
1060,,Rayo de Luz Solar
1061,,Flecha de Hielo
1062,,Megaexplosión
1063,,Caca
1064,,Lluvia de Meteoritos
1065,,Aguijón Final
1066,,Nube Cristalina
1067,,Hipercañón
1068,,Hálito de Fuego
1069,,Golpe Felino
1070,,Garra Mortal
1071,,Bang Bang Espinoso
1072,,Metal Poderoso
1073,,Mate de Caca
1074,,Lanzamiento de Caca
1075,,Alas Meteóricas
1076,,Encanto Mortal
1077,,Flecha de Hálito-V
1078,,Caca de Metales Raros
1079,,Golpe Felino
1080,,Chorro Superapestoso
1081,,Plumas Kunai
1082,,Puño Ardiente
1083,,Golpe Cero Absoluto
1084,,Puño del Rey Bestia
1085,,Rompecielos Giratorio
1086,,Aguijón Turbo
1087,,Cuerno Desintegrador
1088,,Asipatravana
1089,,Espada Espiral
1090,,Destello Cósmico
1091,,Granada Infernal
1092,,Asalto Nocturno
1093,,Impulso Dracónico
1094,,Serenata de Amor
1095,,Flecha Sagrada
1096,,Pinzas Tijera Ω
1097,,Ala Sombría
1098,,Equipamiento Genocida
1099,,Aguijón Nitro
1100,,Turbina del Rey León
1101,,Garras Eliminadoras
1102,,Aramitama
1103,,Bombas Cereza
1104,,Top Gun
1105,,Gancho SuperEstelar
1106,,Pájaro del Olvido
1107,,Chispa de Martillo
1108,,Pincel Búdico del Candor
1109,,Filo Huracanado
1110,,Síndrome de Pesadilla
1111,,Fuego Heavy Metal
1112,,Vibrato Ornamental
1113,,Meteoro Metálico
1114,,Espada Berserk
1115,,Bombas de Conexión
1116,,Desintegrador Forajido
1117,,Puño del Rey Helado
1118,,Truco o Trato
1119,,Bombita
1120,,Pupila Oscura
1121,,Llama Gélida
1122,,Besos Diabólicos
1123,,Maremoto
1124,,Portal Celestial
1125,,Puño de la Victoria
1126,,Bomba Risueña
1127,,Jabalina Relámpago
1128,,Ataque Genocida
1129,,Desintegrador Atómico
1130,,Giga Destructor
1131,,Llama Vengativa
1132,,Láser Nuclear
1133,,Bomba de Energía
1134,,Ataque de Amor
1135,,Mikafutsu-no-Kami
1136,,Revólver Tridente
1137,,Lluvia de Lilas
1138,,Triángulo Dorado
1139,,Cañón de Flores
1140,,Vivos o Muertos
1141,,Oleada de Oscuridad
1142,,Garras del Káiser
1143,,Diálogo de Pandora
1144,,Espada Santa: Gradalpha
1145,,Fuerza V-rillante
1146,,Rotura Cerebral
1147,,Megamuerte
1148,,Láser de Positrones
1149,,Ventisca Ártica
1150,,Inoculación Venenosa
1151,,Fuerza de Gea
1152,,Gloria de Pendragón
1153,,Jabalina del Edén
1154,,Corte Espectral
1155,,Desastre Demoníaco
1156,,¡Terra!¡Rayo!¡Piro!¡Padre!
1157,,Mandala: Reino Matriz
1158,,Tijera Dimensional
1159,,Choque Destructor
1160,,Vals Final
1161,,Juicio Celestial
1162,,Garras Trituradoras
1163,,Mandala: Reino Diamante
1164,,Espada GeoGrey
1165,,Patada Justiciera
1166,,Bifrost
1167,,Siete Cielos
1168,,Ráfaga de Disparos
1169,,Aguijón Sónico V
1170,,Ataque al Alma
1171,,Cañón Catástrofe
1172,,Fuego Infernal
1173,,Sable Real
1174,,Hálito de Guiverno
1175,,Aussterben
1176,,Rayo Atómico
1177,,Juicio de la Espada
1178,,Pandemonio Perdido
1179,,Banchopuñetazo Súbito
1180,,Espada de Triunfo
1181,,Martillo Ametralladora
1182,,Excrementos de Platino
1183,,Fuerza de Gea
1184,,Cabeza Explosiva Feliz
1185,,Lamento Melancólico
1186,,Giga Explosión
1187,,Doble Impacto
1188,,Pesadilla Eterna
1189,,Explosión de Luz Estelar
1190,,Llama Sagrada
1191,,Tomahawk Steiner
1192,,Degradación del Caos
1193,,Océano de Amor
1194,,Golpe Giratorio
1195,,Cañón de Luna Llena
1196,,Cañones Infinitos
1197,,Resbalón de Banana
1198,,Congelamiento Cruzado
1199,,Tomahawk Garuru
1200,,Corriente Definitiva
1201,,Racimo de Terror
1202,,Rostrum
1203,,Dolor Fantasma
1204,,Plumas Celestiales
1205,,Mascarada Espiral
1206,,Látigo de Espinas
1207,,Séptima Fantasía
1208,,Espada Omega
1211,,Wolkenkratzer
1212,,Don de Oscuridad
1213,,Expiación Divina
1214,,Puño de Fuego
1215,,Tormenta Solar Áurea
1216,,Triángulo Dorado
1223,,Ataque Expreso
1224,,Elíseo Final
1225,,Volcar la Mesa Enfadado
1226,,Sable Ulforce
1227,,Digitalización del Alma
1228,,Disparos de Plasma
1229,,Aliento de Odín
1230,,Bendición de Dios
1231,,Rugido del Dragón
1232,,Terror Argénteo
1233,,Impacto Dracónico
1234,,Ernste Welle
1235,,Schwertgeist
1236,,Tornado Valiente
1237,,Tornado Oscuro
1238,,Prisión Judeca
1239,,"Buenas Noches, Luna"
1240,,Burbujas
1241,,Ráfaga de Fuego
1242,,Mini Cornada
1243,,Colmillo Congelante
1244,,Patada de Luna Llena
1245,,Anillo Brillante
1246,,Hiperhedor
1247,,Garra Congelante
1248,,Lanza Relámpago
1249,,Fulgor Caótico
1250,,Rugido Oscuro
1251,,Espada BAN-CHO
1252,,Prominencia Oscura
1253,,Espada Fenrir
1254,,Explosión Brillante Final
1255,,Meteoimpacto Luna Llena
1256,,Danza del Duelo
1257,,Aguichant Lèvres
1258,,Drenaje de Datos
1259,,Absorción de Almas
1260,,Ojos de Pesadilla
1261,,Aguijón Dentado
1262,,Puñetazo Rompedor
1263,,Disparo de Lágrima
1264,,Salamandra Ardiente
1265,,Puño Aprisionador
1266,,Zwei Sieger
1267,,Agujas Rotatorias
1268,,Maldición Carmesí
1269,,Abrojo de Cuchillas
1270,,Dardos Variables
1271,,Stri-Colmillo
1272,,Golpe Cruzado
1273,,Ataque Volcánico
1274,,Emboscada Trituradora
1275,,Lodo
1276,,Bombas de Medianoche
