id,digi1,digi2,digi3,digi4,digi5,digi6
629,407,375,450,27,78,753
387,11,600,118,38,347,718
437,344,596,20,344,772,83
317,753,388,14,630,105,595
320,72,343,753,406,365,754
62,410,700,151,218,341,400
322,309,632,777,749,596,728
512,130,705,452,750,758,759
438,113,305,78,747,404,733
631,377,424,114,143,31,5
325,718,688,72,304,632,626
515,364,393,707,682,21,84
567,25,771,13,395,379,688
510,458,59,377,60,34,320
514,714,65,397,77,422,302
388,755,359,344,348,709,411
321,756,400,57,457,713,437
50,734,739,214,79,182,683
143,629,3,596,177,760,12
63,33,33,427,771,37,680
707,411,190,308,712,135,451
81,590,130,697,19,193,395
564,24,114,394,458,214,14
582,720,107,426,775,6,751
55,700,631,400,424,629,385
569,85,101,190,387,774,215
151,22,148,715,166,23,214
713,760,394,515,784,708,426
90,57,44,105,700,512,417
53,80,104,739,631,14,403
626,320,127,175,740,697,114
595,182,407,729,438,191,428
111,342,416,408,697,367,675
343,367,320,39,193,310,190
709,63,47,401,151,744,709
697,437,590,343,367,81,56
166,32,304,32,314,72,211
20,134,38,64,743,701,698
701,417,681,93,214,752,2
303,314,13,15,595,25,62
708,731,741,438,55,55,749
457,148,712,370,777,710,325
208,208,4,454,347,676,773
112,16,738,782,15,101,701
9,424,39,87,627,451,96
96,143,81,730,25,515,35
687,303,128,79,40,742,126
348,401,25,22,720,12,423
97,677,72,4,327,722,34
307,369,752,758,132,53,59
705,83,405,101,322,438,687
42,9,134,70,370,748,21
114,65,759,117,429,753,629
178,3,735,322,37,91,135
389,413,756,303,308,311,309
706,310,398,755,411,79,782
607,363,21,756,70,427,55
458,431,417,392,36,749,24
56,348,680,128,734,398,311
390,31,143,387,178,383,458
2,30,93,30,345,129,107
391,376,748,359,392,388,91
750,365,514,734,731,458,391
392,911,709,776,315,773,364
190,54,321,19,629,345,36
781,399,27,68,61,22,37
782,50,113,757,80,58,85
730,374,126,425,397,107,422
758,321,106,77,779,756,719
15,379,411,718,65,743,140
676,707,48,766,88,4,404
64,630,435,376,26,69,77
711,211,726,760,683,346,117
344,766,2,429,82,413,93
377,402,5,325,632,631,26
680,748,313,437,117,716,376
393,514,363,710,343,754,191
11,68,753,81,375,719,682
365,600,582,310,428,59,58
87,435,41,743,405,582,80
394,15,755,192,722,27,390
341,409,94,732,705,437,766
760,151,211,424,758,11,65
68,403,548,405,78,68,25
304,101,9,311,582,84,49
455,96,569,383,576,382,60
710,412,79,132,72,39,771
12,349,341,781,385,747,310
714,595,95,304,911,24,64
395,675,80,771,515,312,700
78,738,564,676,607,711,321
630,322,84,97,62,305,409
326,416,757,455,688,126,79
712,758,450,107,317,62,714
398,107,714,315,374,26,723
367,19,431,733,431,729,75
399,733,303,726,126,720,419
729,419,422,680,104,13,730
218,391,745,348,20,30,27
209,34,740,134,377,440,548
113,703,438,752,310,343,377
5,453,389,83,346,73,317
452,359,91,71,453,718,679
30,23,595,130,404,621,388
58,706,177,422,58,700,86
347,127,607,453,427,313,722
130,564,734,682,567,40,712
54,781,423,12,745,102,677
313,37,83,73,382,702,115
14,773,377,345,23,308,512
91,398,32,774,512,50,78
16,302,213,306,73,95,20
698,27,175,327,564,421,70
755,175,11,43,22,143,699
621,406,71,9,209,127,745
759,210,677,42,416,397,621
363,426,512,102,140,745,784
92,325,779,178,81,726,192
93,40,20,143,714,374,344
102,347,406,440,707,307,53
349,699,12,742,755,370,450
396,5,515,48,85,731,39
375,135,682,61,426,19,23
70,680,766,512,680,569,772
308,450,61,65,422,627,349
115,370,742,698,71,209,42
13,6,42,431,600,322,401
397,2,115,96,774,434,44
22,455,166,398,32,320,343
752,726,434,307,208,359,345
43,512,678,115,118,705,379
314,596,391,86,781,407,104
702,742,687,699,115,452,393
10,771,16,420,742,306,30
369,20,23,407,389,115,348
370,678,385,683,42,349,439
548,777,37,92,84,420,88
25,702,55,302,175,390,453
590,94,140,208,34,911,306
72,452,374,191,4,410,440
3,35,322,681,400,454,564
77,117,716,911,514,106,420
454,710,744,85,306,727,399
191,515,718,23,321,117,150
783,576,781,784,752,567,387
784,730,699,402,569,10,346
716,404,346,349,748,401,81
382,74,370,150,391,714,710
751,341,458,737,687,64,405
682,311,349,741,401,327,326
683,582,92,416,711,328,607
305,621,54,129,341,177,408
65,709,50,759,325,175,128
731,739,74,567,403,20,438
342,95,382,80,190,93,747
756,698,676,90,365,9,19
627,425,31,379,59,548,32
85,774,751,744,215,65,576
210,422,731,388,64,730,757
679,408,778,367,737,426,716
400,39,24,735,704,132,389
311,775,729,747,709,739,102
148,44,401,419,548,302,410
401,213,14,716,328,683,707
309,405,70,374,706,344,22
681,4,723,209,621,576,434
402,305,749,435,676,395,50
44,510,773,2,434,178,370
727,58,326,38,379,60,454
211,209,312,59,753,325,218
403,312,132,629,584,82,382
26,177,327,428,93,315,760
4,732,727,748,364,399,314
719,779,208,166,383,782,72
723,118,410,403,320,776,676
379,60,192,6,75,723,735
720,81,720,627,33,759,178
79,715,747,740,57,77,582
404,71,64,27,191,755,113
6,438,135,706,39,75,130
345,427,703,210,369,92,61
728,687,387,37,363,766,6
405,343,567,40,56,5,41
129,114,178,630,754,698,101
84,345,679,193,13,38,748
23,631,49,95,74,118,600
374,78,730,564,326,423,452
406,440,307,621,3,396,322
699,778,325,391,305,42,429
376,327,743,390,393,681,315
33,389,317,632,759,134,363
407,719,421,56,728,405,369
718,681,428,626,739,439,457
576,716,510,135,732,721,313
408,87,36,34,679,403,755
409,69,758,215,10,680,82
41,382,728,749,626,607,779
596,757,88,25,92,600,38
410,548,402,722,69,682,112
82,214,151,679,376,90,208
584,390,85,395,398,385,15
753,62,783,211,723,393,455
177,111,193,69,703,140,143
411,383,62,421,677,590,627
21,569,711,773,735,781,16
101,683,774,84,435,36,778
59,375,708,63,402,732,726
31,708,420,723,311,728,396
74,193,43,702,106,715,383
412,783,105,313,681,737,704
132,421,403,423,16,33,744
134,38,315,317,101,49,697
302,178,697,411,452,564,706
327,43,715,595,302,699,911
364,306,310,47,708,751,105
413,745,732,326,730,15,424
61,388,314,772,716,130,57
721,434,218,750,96,190,166
71,47,78,305,407,514,3
73,86,210,62,678,128,711
722,190,630,91,349,775,774
359,102,911,439,5,678,69
39,126,69,35,11,61,68
107,392,397,375,21,453,567
140,106,427,24,43,218,742
715,49,30,510,309,317,4
726,140,777,11,721,97,630
192,679,750,55,182,63,412
911,129,584,712,50,677,727
416,728,429,700,35,688,305
417,782,365,94,388,208,213
451,723,782,412,701,35,151
732,751,118,688,87,74,304
419,73,439,399,727,777,407
346,105,440,126,129,707,781
773,385,760,590,12,778,90
117,56,56,631,95,455,106
600,304,191,21,150,148,111
27,744,308,751,699,412,514
421,92,396,393,44,687,705
744,759,390,363,425,784,703
677,705,311,728,756,406,209
150,752,775,711,702,104,631
422,88,150,346,454,429,421
688,191,19,569,783,783,33
127,104,425,396,48,192,402
754,632,419,709,359,740,750
423,776,399,731,41,626,367
32,387,376,369,47,735,129
704,48,102,701,423,57,342
83,749,117,458,97,111,210
734,682,182,341,409,80,394
774,395,53,50,744,417,347
735,784,737,775,710,47,431
48,400,15,26,2,675,681
424,607,96,75,307,779,569
425,701,722,720,312,71,97
749,676,215,385,303,342,737
94,91,86,779,776,303,510
776,451,68,328,420,314,43
737,61,395,3,49,211,427
86,626,437,678,148,375,63
213,713,454,60,719,363,425
315,727,214,312,451,595,758
741,36,129,213,410,771,182
771,423,97,457,211,402,397
745,12,784,713,86,457,435
440,41,404,727,105,409,74
128,454,344,719,111,389,732
733,567,408,382,90,428,584
632,722,112,111,738,416,328
38,712,392,582,128,70,743
126,14,75,365,417,750,783
738,420,455,182,127,321,752
700,393,209,347,773,87,740
739,750,707,778,766,151,590
743,64,704,41,107,215,303
19,218,713,112,413,435,416
75,150,309,49,450,419,327
426,77,26,721,729,96,359
60,584,111,677,30,54,127
36,754,733,106,741,85,632
49,115,698,33,113,2,365
427,128,348,127,6,679,308
428,346,702,113,213,348,720
69,55,412,342,778,32,741
175,326,383,218,718,757,413
429,328,87,705,68,377,713
214,307,22,704,408,16,175
450,112,452,406,421,94,13
306,688,364,434,698,304,40
35,711,58,738,596,703,87
775,721,60,417,192,706,756
439,84,451,404,342,450,193
310,97,626,31,114,114,95
453,70,772,74,757,391,148
431,740,675,409,14,734,739
678,215,40,321,412,704,731
675,59,576,314,94,112,406
748,428,73,309,733,387,31
24,26,379,44,726,213,375
747,772,629,413,83,210,47
95,747,369,320,455,400,312
777,429,35,82,63,3,715
385,315,306,514,760,630,341
47,627,413,607,134,369,734
312,704,719,140,590,56,71
135,82,10,104,130,394,392
182,90,63,177,440,86,73
434,697,328,16,313,425,9
80,737,347,783,510,411,134
383,735,426,54,713,44,738
37,132,706,548,715,326,307
34,317,710,410,751,364,11
740,79,683,714,675,88,94
778,313,302,389,439,83,702
703,743,453,10,102,113,92
57,396,621,58,437,48,708
779,75,627,708,396,431,118
742,21,82,703,419,424,721
193,166,345,745,91,712,515
106,13,776,687,31,376,10
766,729,721,148,24,733,729
420,53,77,584,210,584,398
215,439,6,675,9,309,48
88,457,34,576,390,738,678
757,308,342,754,772,166,775
772,42,701,88,54,41,777
118,394,57,36,394,43,54
104,10,754,600,112,741,374
105,93,90,451,53,392,177
40,397,409,364,782,150,596
435,192,367,53,399,510,776
