id,digi1,digi2,digi3,digi4,digi5,digi6
62,317,437,629,320,0,0
322,387,629,437,320,0,0
512,317,320,629,387,437,0
438,387,629,0,0,0,0
631,629,387,317,0,0,0
325,437,629,317,0,0,0
515,320,387,437,629,317,0
567,320,629,387,317,0,0
510,629,0,0,0,0,0
514,320,629,317,437,387,0
388,387,629,317,437,320,0
321,437,320,387,629,0,0
50,322,515,567,514,388,0
143,321,0,0,0,0,0
63,62,321,567,631,0,0
707,567,0,0,0,0,0
81,514,322,325,388,510,567
564,438,512,0,0,0,0
582,631,0,0,0,0,0
55,512,322,514,62,325,438
569,388,512,438,515,0,0
151,514,0,0,0,0,0
713,322,0,0,0,0,0
90,567,388,631,0,0,0
53,512,62,631,388,514,0
626,631,0,0,0,0,0
595,512,514,515,438,0,0
111,631,388,325,0,0,0
343,322,388,567,512,514,62
709,322,62,388,325,514,0
697,321,515,510,0,0,0
728,567,510,321,0,0,0
20,322,0,0,0,0,0
701,388,0,0,0,0,0
303,512,322,510,438,567,0
708,567,322,0,0,0,0
457,325,514,510,322,567,631
208,510,322,631,62,438,515
112,325,0,0,0,0,0
9,321,510,325,322,62,0
96,62,321,388,0,0,0
687,322,62,514,325,321,512
348,325,0,0,0,0,0
97,388,0,0,0,0,0
307,514,631,0,0,0,0
705,514,438,510,567,0,0
42,631,567,510,388,514,322
114,388,512,567,631,0,0
361,388,510,567,514,631,321
389,510,567,631,514,321,0
706,321,512,567,325,515,514
607,325,0,0,0,0,0
458,567,510,321,388,322,631
56,510,631,515,322,438,321
390,631,321,512,567,0,0
2,512,388,0,0,0,0
391,515,325,0,0,0,0
750,512,631,0,0,0,0
392,631,510,321,0,0,0
190,515,438,62,388,0,0
781,62,567,515,0,0,0
682,512,0,0,0,0,0
761,631,62,512,388,438,321
762,325,0,0,0,0,0
763,438,567,631,321,388,512
764,388,321,514,0,0,0
765,512,322,0,0,0,0
730,701,626,0,0,0,0
758,595,307,63,764,708,81
15,750,595,706,56,348,0
676,343,765,114,389,307,303
64,764,728,0,0,0,0
711,765,709,763,9,112,0
344,208,728,50,701,564,687
377,42,0,0,0,0,0
680,348,390,0,0,0,0
393,708,96,303,0,0,0
11,763,303,0,0,0,0
365,307,0,0,0,0,0
87,761,0,0,0,0,0
394,53,392,0,0,0,0
341,97,20,765,389,0,0
760,458,564,0,0,0,0
68,143,0,0,0,0,0
304,56,728,595,392,390,0
455,2,392,307,50,0,0
710,56,0,0,0,0,0
12,709,0,0,0,0,0
714,390,761,361,0,0,0
395,764,750,390,391,457,0
78,457,2,762,90,0,0
630,713,582,390,761,111,53
326,713,348,389,307,391,0
712,208,682,607,50,143,0
398,97,90,0,0,0,0
367,687,697,582,0,0,0
399,595,0,0,0,0,0
729,361,697,190,682,114,9
218,307,457,709,9,0,0
209,9,390,709,111,190,53
113,458,55,348,761,607,9
5,20,728,626,42,114,0
452,112,0,0,0,0,0
30,143,607,151,81,582,343
58,361,728,42,56,53,55
347,750,728,687,96,112,0
130,764,42,0,0,0,0
54,390,764,701,728,0,0
313,9,361,0,0,0,0
14,81,0,0,0,0,0
91,143,50,564,0,0,0
16,390,389,42,0,0,0
