id,digi1,digi2,digi3,digi4,digi5,digi6
629,631,388,510,512,62,515
387,388,631,515,321,514,512
437,325,388,0,0,0,0
317,322,512,438,631,321,0
320,631,325,567,0,0,0
62,20,0,0,0,0,0
322,96,151,348,582,764,390
512,55,20,0,0,0,0
438,151,713,763,0,0,0
631,626,96,0,0,0,0
325,682,391,626,343,713,0
515,595,697,389,0,0,0
567,701,457,392,112,361,626
510,9,682,0,0,0,0
514,97,626,687,90,564,81
388,391,0,0,0,0,0
321,682,626,343,569,0,0
50,590,0,0,0,0,0
143,590,630,11,115,12,344
63,314,0,0,0,0,0
707,712,621,0,0,0,0
81,93,621,712,730,0,0
564,369,87,755,454,3,92
582,455,0,0,0,0,0
55,393,0,0,0,0,0
569,590,70,14,130,0,0
151,370,0,0,0,0,0
713,393,130,87,0,0,0
90,308,710,102,783,93,0
53,3,393,676,0,0,0
626,393,363,30,0,0,0
595,729,0,0,0,0,0
111,11,455,369,349,783,452
343,393,363,398,0,0,0
709,399,0,0,0,0,0
697,454,313,714,68,716,0
166,631,510,514,325,514,514
20,16,363,759,5,396,676
701,93,710,394,752,759,0
303,10,3,365,344,304,0
708,93,676,0,0,0,0
457,30,396,0,0,0,0
208,3,78,12,712,93,0
112,370,10,783,365,712,0
9,752,714,621,68,308,0
96,58,0,0,0,0,0
687,87,14,0,0,0,0
348,698,455,341,191,0,0
97,548,0,0,0,0,0
307,341,13,0,0,0,0
705,93,304,755,758,0,0
42,680,377,218,393,548,16
114,369,347,0,0,0,0
178,438,512,325,321,321,388
389,452,93,730,755,590,0
706,15,304,548,102,752,0
607,54,783,314,0,0,0
458,22,760,78,13,15,396
56,758,68,13,0,0,0
390,590,398,218,0,0,0
2,680,0,0,0,0,0
391,304,0,0,0,0,0
750,755,0,0,0,0,0
392,395,3,676,313,0,0
190,714,78,363,0,0,0
781,3,621,130,783,0,0
782,766,757,772,0,0,0
730,722,59,0,0,0,0
758,401,210,0,0,0,0
15,101,0,0,0,0,0
676,305,21,0,0,0,0
64,406,134,132,61,364,0
711,722,192,302,751,74,177
344,596,0,0,0,0,0
377,715,410,0,0,0,0
680,731,116,727,715,0,0
393,211,408,405,0,0,0
11,731,0,0,0,0,0
365,59,140,61,679,0,0
87,407,723,0,0,0,0
394,342,309,210,134,0,0
341,699,727,211,309,721,0
760,723,21,411,140,374,0
68,374,727,0,0,0,0
304,379,364,44,26,407,412
455,85,61,679,376,401,0
710,74,73,718,374,107,0
12,134,727,411,404,407,39
714,596,715,376,305,31,6
395,715,345,576,364,0,0
78,410,699,211,731,407,406
630,129,376,723,305,26,148
326,82,0,0,0,0,0
712,359,401,0,0,0,0
398,107,0,0,0,0,0
367,59,132,364,302,0,0
399,596,148,409,6,0,0
729,756,6,0,0,0,0
218,26,409,33,6,79,0
209,412,405,0,0,0,0
113,192,379,0,0,0,0
5,411,73,364,400,0,0
452,309,84,406,210,0,0
30,311,731,107,82,44,0
58,727,116,0,0,0,0
347,4,211,134,26,0,0
130,116,73,576,85,406,0
54,409,302,327,718,31,0
313,715,723,23,116,720,0
14,192,74,302,61,210,576
91,401,23,681,192,0,0
16,79,44,0,0,0,0
698,84,376,364,311,345,402
755,726,410,107,211,376,379
621,756,413,129,405,302,0
759,756,413,129,345,65,116
363,719,132,406,0,0,0
92,71,731,0,0,0,0
93,101,401,116,753,0,0
102,727,679,0,0,0,0
349,376,345,756,31,0,0
396,74,753,0,0,0,0
375,699,177,140,134,116,0
70,404,401,413,0,0,0
308,719,576,722,132,0,0
115,715,305,41,411,627,0
13,211,731,374,74,411,41
397,65,192,409,21,302,0
22,411,0,0,0,0,0
752,412,0,0,0,0,0
43,85,401,409,74,715,0
314,722,31,39,584,26,327
702,33,405,71,327,0,0
10,79,0,0,0,0,0
369,723,0,0,0,0,0
370,627,726,679,192,0,0
548,627,0,0,0,0,0
25,116,345,107,374,720,0
590,723,409,33,327,0,0
72,404,405,723,374,0,0
3,26,726,584,715,410,0
77,71,44,412,65,408,403
454,79,0,0,0,0,0
191,26,576,402,719,0,0
783,41,727,401,726,59,6
784,772,67,757,0,0,0
716,305,65,0,0,0,0
382,775,104,0,0,0,0
751,683,383,0,0,0,0
682,395,375,760,0,0,0
683,775,779,435,88,766,0
305,782,704,450,732,675,0
65,214,747,745,903,60,57
731,425,741,703,600,0,0
342,450,428,0,0,0,0
756,683,0,0,0,0,0
627,69,678,0,0,0,0
85,49,677,600,19,0,0
210,429,126,771,440,94,905
679,774,743,60,0,0,0
400,426,427,193,431,315,732
311,57,700,27,901,0,0
148,69,754,0,0,0,0
401,742,738,700,754,423,748
309,57,600,19,428,429,738
681,382,38,127,902,0,0
402,754,901,66,382,69,128
