id,digi1,digi2,digi3,digi4,digi5,digi6,level1,level2,level3,level4,level5,level6,variation1,variation2,variation3,variation4,variation5,variation6,unk13,unk14,unk15,unk16,unk9,unk10
0,728,143,81,765,53,697,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3013,a
1,30,783,93,78,454,68,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,3015,a
2,350,-1,-1,-1,-1,-1,99,99,99,99,99,99,1,1,1,1,1,1,1,0,0,0,0,a
3,820,821,-1,-1,-1,-1,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,0,0,a
4,758,760,548,68,72,367,30,30,30,30,30,30,1,1,1,1,1,1,1,0,0,0,0,a
5,6,211,407,719,408,101,45,45,45,45,45,45,1,1,1,1,1,1,1,0,0,0,0,a
6,193,213,48,732,419,36,70,70,70,70,70,70,1,1,1,1,1,1,1,0,0,0,0,a
7,905,80,700,126,704,773,85,85,85,85,85,85,1,1,1,1,1,1,1,0,0,0,0,a
8,757,777,328,779,776,40,99,99,99,99,99,99,1,1,1,1,1,1,1,0,0,0,0,a
9,777,88,435,105,106,420,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,a
10,410,405,4,412,576,721,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,a
11,387,320,-1,-1,-1,-1,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,a
12,321,631,62,322,512,325,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,a
13,325,388,631,515,514,322,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,a
21,317,437,-1,-1,-1,-1,5,5,5,5,5,5,1,1,1,1,1,1,0,0,0,0,0,a
22,437,514,-1,-1,-1,-1,5,5,5,5,5,5,1,1,1,1,1,1,0,0,0,0,0,a
23,514,321,515,322,438,512,5,5,5,5,5,5,1,1,1,1,1,1,0,0,0,0,0,a
31,320,320,-1,-1,-1,-1,5,5,5,5,5,5,1,1,1,1,1,1,0,0,0,0,0,a
32,514,515,510,438,631,388,5,5,5,5,5,5,1,1,1,1,1,1,0,0,0,0,0,a
33,322,512,325,321,62,631,5,5,5,5,5,5,1,1,1,1,1,1,0,0,0,0,0,a
34,320,388,-1,-1,-1,-1,5,5,5,5,5,5,1,1,1,1,1,1,0,0,0,0,0,a
41,512,515,325,514,321,567,8,8,8,8,8,8,1,1,1,1,1,1,0,0,0,0,0,a
42,514,322,510,631,62,321,8,8,8,8,8,8,1,1,1,1,1,1,0,0,0,0,0,a
43,307,111,20,55,390,389,8,8,8,8,8,8,1,1,1,1,1,1,0,0,0,0,0,a
44,322,438,512,388,325,631,8,8,8,8,8,8,1,1,1,1,1,1,0,0,0,0,0,a
45,20,208,709,303,728,361,8,8,8,8,8,8,1,1,1,1,1,1,0,0,0,0,0,a
46,90,626,457,111,706,390,8,8,8,8,8,8,1,1,1,1,1,1,0,0,0,0,0,a
51,322,388,321,512,515,325,11,11,11,11,11,11,1,1,1,1,1,1,0,0,0,0,0,a
52,510,62,322,567,388,512,11,11,11,11,11,11,1,1,1,1,1,1,0,0,0,0,0,a
53,762,764,2,97,389,682,11,11,11,11,11,11,1,1,1,1,1,1,0,0,0,0,0,a
54,514,567,325,62,322,388,11,11,11,11,11,11,1,1,1,1,1,1,0,0,0,0,0,a
55,321,510,62,512,388,515,11,11,11,11,11,11,1,1,1,1,1,1,0,0,0,0,0,a
56,764,458,389,96,582,112,11,11,11,11,11,11,1,1,1,1,1,1,0,0,0,0,0,a
61,629,631,629,-1,-1,-1,15,15,15,15,15,15,1,1,1,1,1,1,0,0,0,0,0,a
62,438,515,62,512,388,321,15,15,15,15,15,15,1,1,1,1,1,1,0,0,0,0,0,a
63,713,151,42,392,708,626,15,15,15,15,15,15,1,1,1,1,1,1,0,0,0,0,0,a
64,9,190,97,55,151,728,15,15,15,15,15,15,1,1,1,1,1,1,0,0,0,0,0,a
65,16,455,313,783,349,370,15,15,15,15,15,15,1,1,1,1,1,1,0,0,0,0,0,a
66,361,303,763,56,63,112,15,15,15,15,15,15,1,1,1,1,1,1,0,0,0,0,0,a
71,321,438,62,512,510,515,18,18,18,18,18,18,1,1,1,1,1,1,0,0,0,0,0,a
72,631,438,512,514,567,62,18,18,18,18,18,18,1,1,1,1,1,1,0,0,0,0,0,a
73,151,96,564,90,361,687,18,18,18,18,18,18,1,1,1,1,1,1,0,0,0,0,0,a
74,763,389,42,687,97,56,18,18,18,18,18,18,1,1,1,1,1,1,0,0,0,0,0,a
81,143,682,781,97,2,389,18,18,18,18,18,18,1,1,1,1,1,1,0,0,0,0,0,a
82,114,708,705,56,361,307,18,18,18,18,18,18,1,1,1,1,1,1,0,0,0,0,0,a
83,9,763,569,391,96,361,18,18,18,18,18,18,1,1,1,1,1,1,0,0,0,0,0,a
84,2,457,761,143,112,701,18,18,18,18,18,18,1,1,1,1,1,1,0,0,0,0,0,a
85,711,91,759,313,375,548,18,18,18,18,18,18,1,1,1,1,1,1,0,0,0,0,0,a
86,54,716,363,396,347,72,18,18,18,18,18,18,1,1,1,1,1,1,0,0,0,0,0,a
91,631,322,515,567,438,510,21,21,21,21,21,21,1,1,1,1,1,1,0,0,0,0,0,a
92,595,63,701,53,682,42,21,21,21,21,21,21,1,1,1,1,1,1,0,0,0,0,0,a
93,377,711,11,25,102,590,21,21,21,21,21,21,1,1,1,1,1,1,0,0,0,0,0,a
101,564,626,361,20,595,728,24,24,24,24,24,24,1,1,1,1,1,1,0,0,0,0,0,a
102,705,90,389,687,626,348,24,24,24,24,24,24,1,1,1,1,1,1,0,0,0,0,0,a
103,781,607,706,626,348,151,24,24,24,24,24,24,1,1,1,1,1,1,0,0,0,0,0,a
104,729,77,363,759,716,397,24,24,24,24,24,24,1,1,1,1,1,1,0,0,0,0,0,a
105,112,90,2,697,457,706,24,24,24,24,24,24,1,1,1,1,1,1,0,0,0,0,0,a
106,752,115,760,729,630,10,24,24,24,24,24,24,1,1,1,1,1,1,0,0,0,0,0,a
111,208,728,682,96,112,9,27,27,27,27,27,27,1,1,1,1,1,1,0,0,0,0,0,a
112,621,455,308,369,304,43,27,27,27,27,27,27,1,1,1,1,1,1,0,0,0,0,0,a
113,630,367,395,711,716,375,27,27,27,27,27,27,1,1,1,1,1,1,0,0,0,0,0,a
114,716,130,621,3,115,78,27,27,27,27,27,27,1,1,1,1,1,1,0,0,0,0,0,a
115,54,711,10,759,676,22,27,27,27,27,27,27,1,1,1,1,1,1,0,0,0,0,0,a
121,713,701,762,709,90,607,27,27,27,27,27,27,1,1,1,1,1,1,0,0,0,0,0,a
122,365,395,399,10,758,455,27,27,27,27,27,27,1,1,1,1,1,1,0,0,0,0,0,a
123,370,191,77,91,367,452,27,27,27,27,27,27,1,1,1,1,1,1,0,0,0,0,0,a
124,87,398,630,712,676,314,27,27,27,27,27,27,1,1,1,1,1,1,0,0,0,0,0,a
125,397,452,30,113,758,77,27,27,27,27,27,27,1,1,1,1,1,1,0,0,0,0,0,a
126,758,630,760,3,10,363,27,27,27,27,27,27,1,1,1,1,1,1,0,0,0,0,0,a
131,81,90,208,97,56,709,30,30,30,30,30,30,1,1,1,1,1,1,0,0,0,0,0,a
132,713,457,190,626,389,111,30,30,30,30,30,30,1,1,1,1,1,1,0,0,0,0,0,a
133,92,714,15,77,377,304,30,30,30,30,30,30,1,1,1,1,1,1,0,0,0,0,0,a
134,396,363,43,130,15,102,30,30,30,30,30,30,1,1,1,1,1,1,0,0,0,0,0,a
135,714,370,676,313,314,752,30,30,30,30,30,30,1,1,1,1,1,1,0,0,0,0,0,a
141,730,716,758,93,341,399,30,30,30,30,30,30,1,1,1,1,1,1,0,0,0,0,0,a
142,30,676,10,680,341,92,30,30,30,30,30,30,1,1,1,1,1,1,0,0,0,0,0,a
143,92,590,13,452,25,398,30,30,30,30,30,30,1,1,1,1,1,1,0,0,0,0,0,a
144,702,58,621,454,729,78,30,30,30,30,30,30,1,1,1,1,1,1,0,0,0,0,0,a
145,630,760,758,375,341,452,30,30,30,30,30,30,1,1,1,1,1,1,0,0,0,0,0,a
146,12,15,752,14,395,398,30,30,30,30,30,30,1,1,1,1,1,1,0,0,0,0,0,a
