id,digi1,digi2,digi3,digi4,digi5,digi6
0,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1
2,621,43,398,313,-1,-1
3,311,309,41,101,84,4
4,742,739,424,-1,-1,-1
5,73,727,723,82,-1,-1
6,902,-1,-1,-1,-1,-1
7,-1,-1,-1,-1,-1,-1
8,-1,-1,-1,-1,-1,-1
9,12,78,-1,-1,-1,-1
10,132,82,681,31,726,406
11,33,31,727,721,6,39
12,720,412,41,756,731,-1
13,412,722,4,715,210,-1
14,71,4,-1,-1,-1,-1
15,140,305,82,721,-1,-1
16,116,85,309,411,-1,-1
17,-1,-1,-1,-1,-1,-1
18,-1,-1,-1,-1,-1,-1
19,118,88,-1,-1,-1,-1
20,92,16,760,758,630,-1
21,86,385,19,-1,-1,-1
22,44,699,177,576,407,-1
23,732,32,-1,-1,-1,-1
24,105,778,215,106,904,-1
25,379,376,129,364,-1,-1
26,688,38,-1,-1,-1,-1
27,67,776,777,904,-1,-1
28,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1
30,715,720,39,679,23,129
31,749,675,425,734,-1,-1
32,67,420,777,757,-1,-1
33,47,747,66,744,80,423
34,757,88,-1,-1,-1,-1
35,776,105,435,215,118,775
36,766,-1,-1,-1,-1,-1
37,104,105,40,-1,-1,-1
38,777,772,67,420,-1,-1
39,127,903,-1,-1,-1,-1
40,-1,-1,-1,-1,-1,-1
41,423,744,-1,-1,-1,-1
42,393,398,130,-1,-1,-1
43,756,-1,-1,-1,-1,-1
44,83,440,733,193,47,383
45,-1,-1,-1,-1,-1,-1
46,-1,-1,-1,-1,-1,-1
47,777,67,-1,-1,-1,-1
48,104,-1,-1,-1,-1,-1
49,118,-1,-1,-1,-1,-1
50,676,68,-1,-1,-1,-1
51,-1,-1,-1,-1,-1,-1
52,-1,-1,-1,-1,-1,-1
53,304,209,755,347,369,87
54,6,-1,-1,-1,-1,-1
55,377,92,-1,-1,-1,-1
56,367,58,77,548,-1,-1
57,105,-1,-1,-1,-1,-1
58,73,82,731,753,-1,-1
59,451,421,-1,-1,-1,-1
60,766,-1,-1,-1,-1,-1
61,683,426,127,48,34,-1
62,96,63,564,9,607,-1
63,760,70,102,710,393,716
64,407,39,31,-1,-1,-1
65,745,312,214,426,903,-1
66,772,88,40,-1,-1,-1
67,-1,-1,-1,-1,-1,-1
68,345,410,722,753,-1,-1
69,779,775,104,88,-1,-1
70,699,718,627,73,753,148
71,773,733,748,117,-1,-1
72,401,-1,-1,-1,-1,-1
73,905,35,-1,-1,-1,-1
74,677,48,315,35,439,600
75,776,435,-1,-1,-1,-1
76,-1,-1,-1,-1,-1,-1
77,405,726,408,718,129,-1
78,406,407,302,722,-1,-1
79,453,66,32,774,440,740
80,904,104,-1,-1,-1,-1
81,712,396,755,308,92,-1
82,213,782,-1,-1,-1,-1
83,215,420,328,-1,-1,-1
84,678,747,423,737,421,66
85,421,315,86,-1,-1,-1
86,776,778,435,-1,-1,-1
87,726,177,408,718,359,404
88,-1,-1,-1,-1,-1,-1
89,-1,-1,-1,-1,-1,-1
90,30,363,680,-1,-1,-1
91,409,413,39,720,129,148
92,192,-1,-1,-1,-1,-1
93,359,720,61,74,-1,-1
94,775,420,-1,-1,-1,-1
95,118,775,757,88,-1,-1
96,304,367,12,70,621,590
97,621,395,676,548,87,-1
98,-1,-1,-1,-1,-1,-1
99,-1,-1,-1,-1,-1,-1
100,-1,-1,-1,-1,-1,-1
101,36,738,732,-1,-1,-1
102,41,413,-1,-1,-1,-1
103,-1,-1,-1,-1,-1,-1
104,-1,-1,-1,-1,-1,-1
105,-1,-1,-1,-1,-1,-1
106,-1,-1,-1,-1,-1,-1
107,434,75,426,-1,-1,-1
108,-1,-1,-1,-1,-1,-1
109,-1,-1,-1,-1,-1,-1
110,-1,-1,-1,-1,-1,-1
111,87,-1,-1,-1,-1,-1
112,716,-1,-1,-1,-1,-1
113,129,177,-1,-1,-1,-1
114,93,375,698,14,-1,-1
115,305,359,584,409,73,-1
116,75,451,419,-1,-1,-1
117,776,777,-1,-1,-1,-1
118,-1,-1,-1,-1,-1,-1
119,-1,-1,-1,-1,-1,-1
120,-1,-1,-1,-1,-1,-1
121,-1,-1,-1,-1,-1,-1
122,-1,-1,-1,-1,-1,-1
123,-1,-1,-1,-1,-1,-1
124,-1,-1,-1,-1,-1,-1
125,-1,-1,-1,-1,-1,-1
126,88,772,105,-1,-1,-1
127,118,772,106,215,88,435
128,106,104,-1,-1,-1,-1
129,36,47,312,-1,-1,-1
130,751,311,410,753,721,-1
131,-1,-1,-1,-1,-1,-1
132,69,19,36,734,-1,-1
133,-1,-1,-1,-1,-1,-1
134,150,735,902,739,440,-1
135,67,88,420,904,779,-1
136,-1,-1,-1,-1,-1,-1
137,-1,-1,-1,-1,-1,-1
138,-1,-1,-1,-1,-1,-1
139,-1,-1,-1,-1,-1,-1
140,427,600,346,450,-1,-1
141,-1,-1,-1,-1,-1,-1
142,-1,-1,-1,-1,-1,-1
143,702,54,729,-1,-1,-1
144,-1,-1,-1,-1,-1,-1
145,-1,-1,-1,-1,-1,-1
146,-1,-1,-1,-1,-1,-1
147,-1,-1,-1,-1,-1,-1
148,385,416,-1,-1,-1,-1
149,-1,-1,-1,-1,-1,-1
150,778,777,215,-1,-1,-1
151,102,64,30,91,3,-1
152,-1,-1,-1,-1,-1,-1
153,-1,-1,-1,-1,-1,-1
154,-1,-1,-1,-1,-1,-1
155,-1,-1,-1,-1,-1,-1
156,-1,-1,-1,-1,-1,-1
157,-1,-1,-1,-1,-1,-1
158,-1,-1,-1,-1,-1,-1
159,-1,-1,-1,-1,-1,-1
160,-1,-1,-1,-1,-1,-1
161,-1,-1,-1,-1,-1,-1
162,-1,-1,-1,-1,-1,-1
163,-1,-1,-1,-1,-1,-1
164,-1,-1,-1,-1,-1,-1
165,-1,-1,-1,-1,-1,-1
166,-1,-1,-1,-1,-1,-1
