id,move1_id,move1_unk1,move1_unk2,move1_unk3,move1_unk4,move2_id,move2_unk1,move2_unk2,move2_unk3,move2_unk4,move3_id,move3_unk1,move3_unk2,move3_unk3,move3_unk4,move4_id,move4_unk1,move4_unk2,move4_unk3,move4_unk4,move5_id,move5_unk1,move5_unk2,move5_unk3,move5_unk4,move6_id,move6_unk1,move6_unk2,move6_unk3,move6_unk4,move7_id,move7_unk1,move7_unk2,move7_unk3,move7_unk4,move8_id,move8_unk1,move8_unk2,move8_unk3,move8_unk4,move9_id,move9_unk1,move9_unk2,move9_unk3,move9_unk4,move10_id,move10_unk1,move10_unk2,move10_unk3,move10_unk4
0,1084,0,0,0,0,1131,0,0,0,0,3087,0,0,0,0,3084,0,0,0,0,1317,0,0,0,0,1367,0,0,0,0,1325,0,0,0,0,3014,0,0,0,0,3134,0,0,0,0,1364,0,0,0,0
1,1376,0,0,0,0,1028,0,0,0,0,1181,0,0,0,0,1001,0,0,0,0,1324,0,0,0,0,1276,0,0,0,0,1278,0,0,0,0,1272,0,0,0,0,1132,0,0,0,0,1265,0,0,0,0
2,1186,0,0,0,0,1025,0,0,0,0,1113,0,0,0,0,1034,0,0,0,0,1022,0,0,0,0,3072,0,0,0,0,1120,0,0,0,0,1020,0,0,0,0,1305,0,0,0,0,1252,0,0,0,0
3,1365,0,0,0,0,1207,0,0,0,0,1351,0,0,0,0,3056,0,0,0,0,3130,0,0,0,0,1171,0,0,0,0,1124,0,0,0,0,1190,0,0,0,0,3122,0,0,0,0,1287,0,0,0,0
4,3114,0,0,0,0,1069,0,0,0,0,1075,0,0,0,0,1253,0,0,0,0,1351,0,0,0,0,1080,0,0,0,0,3089,0,0,0,0,3045,0,0,0,0,3096,0,0,0,0,3123,0,0,0,0
5,3109,0,0,0,0,3111,0,0,0,0,1133,0,0,0,0,1344,0,0,0,0,1100,0,0,0,0,1277,0,0,0,0,1075,0,0,0,0,1338,0,0,0,0,3101,0,0,0,0,3013,0,0,0,0
6,1289,0,0,0,0,1021,0,0,0,0,1017,0,0,0,0,1223,0,0,0,0,3101,0,0,0,0,1114,0,0,0,0,1277,0,0,0,0,1204,0,0,0,0,1256,0,0,0,0,1082,0,0,0,0
7,1053,0,0,0,0,1304,0,0,0,0,3120,0,0,0,0,1294,0,0,0,0,1259,0,0,0,0,1171,0,0,0,0,1003,0,0,0,0,1120,0,0,0,0,1074,0,0,0,0,1083,0,0,0,0
8,1234,0,0,0,0,1007,0,0,0,0,1363,0,0,0,0,1170,0,0,0,0,3040,0,0,0,0,1289,0,0,0,0,1205,0,0,0,0,1284,0,0,0,0,3058,0,0,0,0,3108,0,0,0,0
9,3070,0,0,0,0,1069,0,0,0,0,3014,0,0,0,0,1199,0,0,0,0,1170,0,0,0,0,1230,0,0,0,0,3107,0,0,0,0,1110,0,0,0,0,1358,0,0,0,0,1136,0,0,0,0
