type,variation,unk3,unk4,unk5,baseHP,baseATK,baseDEF,baseINT,baseSPD,levelHP,levelATK,levelDEF,levelINT,levelSPD,battleAI,poisonResist,panicResist,paraResist,sleepResist,stunResist,dotResist,bugResist,deathResist,ATKResist,DEFResist,INTResist,SPDResist,padding1,padding2,padding3,EXP,EXPx2,YEN,YENx2,itemId1,itemChance1,itemId2,itemChance2,scanRate,unk32,unk33
9,1,8,1,0,10300,2200,4700,2500,3200,292,110,90,130,90,91,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10010,1040,10004,27,100,1305,100,100,209,0
9,2,8,1,0,44000,2200,2700,2500,3200,3600,90,110,90,80,92,0,100,0,0,0,100,0,100,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,209,0
10,1,8,1,0,13700,7500,5500,4000,5000,300,80,130,120,80,101,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10016,1080,10008,50,100,359,100,100,208,13
10,2,8,1,0,25200,6700,9800,7200,4500,552,72,234,216,72,102,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10016,1080,10008,-1,100,15,100,100,208,13
10,3,8,1,0,55000,7500,5500,4000,5000,1200,130,120,80,100,103,0,100,0,0,0,50,0,50,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,208,13
10,4,8,1,0,41100,22500,16500,12000,15000,900,240,360,360,240,104,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,9000,10000,14000,10000,351,100,399,100,100,208,13
12,1,8,1,0,11200,5000,4500,4500,7500,225,110,100,100,100,121,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10016,1080,10008,56,100,1111,100,100,208,0
12,2,8,1,0,50000,6000,4500,4500,7500,900,100,100,100,130,122,0,50,0,0,0,50,0,0,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,208,0
12,3,8,1,0,115000,15000,4500,4500,15300,900,100,100,100,130,123,100,100,30,30,0,30,0,100,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,208,0
13,1,8,1,0,5000,2500,3000,7500,7000,200,130,80,90,130,131,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10016,1080,10008,110,100,334,100,100,208,10
13,2,8,1,0,35000,1700,8500,12000,9000,176,110,68,76,110,132,0,0,0,0,0,0,0,100,0,0,0,0,-1,-1,-1,1004,10016,1080,10008,110,100,334,100,100,208,10
14,1,8,1,0,13700,5500,6000,4200,4800,275,110,100,100,100,141,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10016,1080,10008,71,100,1213,100,100,208,0
14,2,8,1,0,85000,11300,18000,10000,11000,275,110,100,100,100,142,100,100,100,100,100,100,0,100,0,0,0,0,-1,-1,-1,1004,10016,1080,10008,71,100,1213,100,100,208,0
14,3,8,1,0,55000,5500,6000,4200,4800,1100,100,100,100,110,143,0,50,0,0,0,0,0,50,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,208,0
15,1,8,1,0,10000,6000,4000,4000,8000,225,110,100,100,100,151,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10016,1080,10008,56,100,1003,100,100,216,6
15,2,8,1,0,40000,6000,4000,4000,8000,225,130,120,100,120,152,0,0,0,0,0,50,0,100,0,0,0,0,-1,-1,-1,1004,10016,1080,10008,56,100,1003,100,100,216,6
15,3,8,1,0,40000,6000,4000,4000,8000,2700,100,100,100,130,153,0,50,50,0,0,50,0,100,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,216,6
15,4,8,1,0,105000,16000,4000,4000,15900,900,100,100,100,130,154,80,80,50,50,0,100,0,100,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,216,6
21,1,8,1,0,28800,7000,7000,7500,5600,357,90,110,110,100,211,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10024,1160,10016,106,100,399,100,100,217,19
21,2,8,1,0,115000,7000,7000,9500,5600,1300,110,110,100,90,212,0,0,0,100,0,100,0,0,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,217,19
21,3,8,1,0,115000,7000,7000,9500,5600,1300,110,110,100,90,213,0,0,0,100,0,100,0,0,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,217,19
21,4,8,1,0,285000,7000,12000,24500,39900,1300,110,110,100,90,214,50,0,0,100,0,50,0,100,0,30,30,100,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,217,19
24,1,8,1,0,125500,900,6000,27000,22000,272,123,76,85,123,241,0,100,100,100,0,0,0,100,0,0,0,0,-1,-1,-1,1004,10036,11500,10000,-1,100,1415,100,100,208,4
24,2,8,1,0,190000,1000,13500,33000,26000,0,0,0,0,0,242,0,100,50,100,100,100,0,100,0,0,0,50,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,208,4
24,3,8,1,0,100000,2500,4500,14000,9500,800,80,90,130,120,243,0,50,50,100,0,100,0,100,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,208,4
24,4,8,1,0,24000,2500,4500,14000,9500,330,80,90,130,120,244,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10036,1320,10032,22,100,1415,100,100,208,4
24,5,8,1,0,180000,900,8000,28000,33200,1100,80,90,130,120,245,80,100,50,100,0,100,0,100,0,0,0,0,-1,-1,-1,33000,10024,38000,10000,-1,100,1415,100,100,208,4
27,1,8,1,0,185000,98000,16000,13000,23000,408,76,123,114,76,271,100,100,50,50,50,50,0,100,100,100,0,100,-1,-1,-1,1004,10036,24000,10000,-1,100,1049,100,100,203,0
27,2,8,1,0,235000,58000,15000,14000,18500,0,0,0,0,0,272,50,50,50,50,50,50,50,100,50,0,0,50,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,203,0
27,3,8,1,0,200000,75000,17500,15000,27500,0,0,0,0,0,273,100,100,50,50,50,50,50,100,100,100,0,100,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,203,0
27,4,8,1,0,105000,15000,12500,8000,10100,1200,130,120,80,100,274,100,100,50,50,50,50,50,100,100,100,0,100,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,203,0
27,5,8,1,0,120000,14000,10500,10000,9100,1200,130,120,80,100,275,0,0,0,0,0,0,0,100,0,0,0,0,-1,-1,-1,1004,10036,1320,10032,-1,100,1049,100,100,203,0
34,1,8,1,0,680000,8000,12000,45000,60000,540,250,150,170,250,341,100,100,100,100,100,100,0,100,75,75,50,100,-1,-1,-1,26200,10000,37000,10000,-1,100,1472,100,100,208,14
35,1,8,1,0,1330000,150000,6500,5500,45000,800,850,125,90,150,351,100,100,100,100,100,100,0,100,100,75,100,25,-1,-1,-1,26200,10000,33000,10000,-1,100,1382,100,100,208,2
35,2,8,1,0,280000,49500,7500,6000,11000,1200,130,90,80,120,352,100,100,100,100,100,100,0,100,100,75,100,25,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,208,2
35,3,8,1,0,220000,48000,12500,11000,14000,1100,100,100,100,110,353,100,100,100,100,100,100,0,100,100,25,25,25,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,208,2
36,1,8,1,0,612000,8400,15200,31200,11400,374,114,76,95,123,361,100,100,100,100,100,100,0,100,0,0,100,0,-1,-1,-1,7500,10000,19000,10000,-1,100,91,100,100,208,0
36,2,8,1,0,612000,8400,15200,62400,22800,374,114,76,190,246,362,100,100,100,100,100,100,0,100,0,50,100,75,-1,-1,-1,26200,10000,38000,10000,-1,100,1317,100,100,208,0
37,1,8,1,0,600000,90000,20000,9000,25000,400,850,200,100,200,371,100,100,100,100,100,100,0,100,25,100,100,75,-1,-1,-1,26200,10000,31000,10000,-1,100,1470,100,100,219,13 20
37,2,8,1,0,260000,55500,10500,20500,11800,1100,100,100,100,110,373,100,100,100,50,50,100,0,100,20,100,20,100,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,219,13 20
38,1,8,1,0,1100000,23000,13500,23000,26400,680,190,230,170,230,381,100,100,100,100,100,100,0,100,100,100,100,0,-1,-1,-1,26200,10000,31000,10000,-1,100,1254,100,100,210,0
39,1,8,1,0,660000,44000,6600,44000,44000,600,400,60,450,440,391,100,100,100,100,100,100,0,100,0,100,0,100,-1,-1,-1,28400,10000,15000,10000,-1,100,1476,100,100,208,6
40,1,8,1,0,864000,200000,11000,7000,32000,480,800,130,120,160,401,100,100,100,100,100,100,0,100,0,100,100,100,-1,-1,-1,29000,10000,28000,10000,-1,100,1386,100,100,216,9
43,1,8,1,0,7500,4500,4000,7000,6000,200,130,80,90,130,431,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10016,1080,10008,122,100,1357,100,100,212,2
43,2,8,1,0,80000,8000,9000,9000,20000,176,110,68,76,110,432,0,0,0,0,0,100,0,100,0,0,0,0,-1,-1,-1,1004,10016,1080,10008,122,100,1357,100,100,212,2
43,3,8,1,0,98000,4500,4000,17000,13800,800,80,90,130,120,433,100,30,80,80,80,100,0,100,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,212,2
43,4,8,1,0,80000,4500,7000,7000,11000,1600,160,180,260,240,434,0,10,20,30,30,100,0,100,0,0,0,0,-1,-1,-1,1600,10005,1550,10008,122,100,1357,100,100,212,2
49,1,8,1,0,428400,22800,24600,7600,12200,408,76,123,114,76,491,100,100,100,100,100,100,0,100,50,50,50,50,-1,-1,-1,7000,10000,9000,10000,-1,100,90,100,100,206,2
49,2,8,1,0,321300,34200,24600,7600,18300,306,114,61,114,114,492,50,50,0,50,50,100,0,100,0,0,0,0,-1,-1,-1,1004,10036,19000,10000,-1,100,1328,100,100,206,2
49,3,8,1,0,360000,55000,23000,12000,14700,0,0,0,0,0,494,50,50,50,100,50,100,0,100,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,206,2
49,4,8,1,0,105000,13000,13000,4100,8900,1200,130,120,80,100,495,0,100,50,50,0,0,0,0,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,206,2
50,1,9,1,0,10100,6800,4500,1500,3700,270,80,130,120,80,501,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10010,1040,10004,2,100,1005,100,100,201,3
50,2,9,1,0,170000,100000,30000,10000,25000,0,0,0,0,0,502,100,50,100,50,100,100,0,100,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,201,3
50,3,9,1,0,45000,6800,4500,1500,3700,3600,130,120,80,100,503,0,100,0,100,0,0,0,100,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,201,3
50,4,9,1,0,65000,9000,6000,2000,5500,3600,130,120,80,100,504,0,100,0,100,0,0,0,100,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,201,3
50,5,9,1,0,105000,13500,10500,5000,9100,3600,130,120,80,100,505,0,100,0,100,0,0,0,100,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,201,3
50,6,9,1,0,30300,20400,13500,4500,11100,810,390,360,240,300,506,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,6000,10000,11000,10000,341,100,25,100,100,201,3
53,1,8,1,0,4500,1400,3000,5400,4700,180,130,80,90,130,531,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10010,1040,10004,8,100,1129,100,100,208,6
53,2,8,1,0,20000,1400,3000,5400,4700,800,80,90,130,120,532,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,208,6
54,1,8,1,0,18700,8000,4000,2500,6000,300,90,130,90,80,541,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10016,1080,10008,32,100,360,100,100,210,0
54,2,8,1,0,95000,10000,4000,2500,6000,1200,130,90,110,120,542,0,0,0,0,0,0,0,100,0,0,0,0,-1,-1,-1,1000,10000,1000,10000,-1,100,-1,100,100,210,0
55,1,8,1,0,10100,5500,3000,2700,4300,270,90,130,90,80,551,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10010,1040,10004,18,100,1099,100,100,212,0 6
56,1,8,1,0,10500,3400,3400,3000,3500,292,90,110,110,100,561,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10010,1040,10004,14,100,301,100,100,215,2
57,1,8,1,0,24000,9500,8000,10000,9100,330,110,100,100,100,571,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1004,10036,1320,10032,13,100,352,100,100,220,2
57,2,8,1,0,190000,75000,9000,10000,65500,0,0,0,0,0,572,100,100,100,100,100,100,100,100,0,0,0,0,-1,-1,-1,14500,10000,20000,10000,-1,100,1491,100,100,220,2
57,3,8,1,0,80000,11000,9000,10000,12000,374,104,95,95,95,573,100,100,0,100,0,0,0,100,0,0,0,0,-1,-1,-1,1004,10036,1320,10032,13,100,352,100,100,220,2
